term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
begründen,8,0.0037,0.0007,0.0006,0.069,0.0027,0.0019,0.0002,0.0007,0.002,0.0002,0.0009,0.0014,0.0048,0.001,0.0013
biologismus,8,0.0037,0.0008,0.0006,0.0029,0.0027,0.0019,0.0001,0.0352,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0012
chauvinismen,8,0.0037,0.0008,0.0006,0.0028,0.0026,0.0019,0.0001,0.0352,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0012
engagement,8,0.0036,0.0007,0.0007,0.0032,0.0028,0.014,0.0024,0.0007,0.0011,0.044,0.0009,0.0015,0.0002,0.001,0.0013
erkenntnis,8,0.0037,0.0008,0.0006,0.0028,0.0196,0.0019,0.0001,0.0309,0.0011,0.0002,0.0009,0.0015,0.0002,0.001,0.0013
ethnozentrismen,8,0.0037,0.0007,0.0006,0.0028,0.0027,0.0019,0.0001,0.0352,0.001,0.0002,0.0009,0.0015,0.0002,0.0009,0.0013
folge,8,0.0037,0.0007,0.0006,0.0026,0.0026,0.014,0.0001,0.0007,0.0408,0.0002,0.0009,0.011,0.0002,0.001,0.0013
gewalt,8,0.0036,0.0106,0.0011,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0212,0.0008,0.0016,0.0285,0.001,0.0013
grundlegend,8,0.0273,0.0007,0.0006,0.0027,0.0029,0.0019,0.0001,0.0044,0.001,0.0002,0.0171,0.0014,0.004,0.001,0.0015
gruppe,8,0.0038,0.0008,0.0006,0.0026,0.0027,0.002,0.0171,0.0007,0.001,0.0245,0.0009,0.0015,0.0002,0.0011,0.0012
individuell,8,0.0037,0.0008,0.0322,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0008,0.0015,0.0002,0.001,0.0013
jugendliche,8,0.0038,0.0288,0.0006,0.0026,0.0195,0.0019,0.0001,0.0007,0.0011,0.0002,0.0073,0.0015,0.0002,0.001,0.0012
kinderarbeit,8,0.0037,0.0007,0.0006,0.0028,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0015,0.0002,0.0507,0.0013
lernen,8,0.0037,0.0056,0.0006,0.0026,0.0028,0.0501,0.0001,0.0007,0.001,0.0002,0.017,0.0015,0.0002,0.0011,0.0013
maßnahme,8,0.0037,0.0008,0.0006,0.003,0.0026,0.0239,0.0058,0.0007,0.0011,0.0186,0.0008,0.0015,0.0002,0.001,0.0013
minderheit,8,0.0036,0.0008,0.0313,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0028,0.0003,0.001,0.0013
motiv,8,0.0037,0.0008,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0219,0.0015,0.0052,0.001,0.0015
recherche,8,0.0036,0.0394,0.0006,0.0027,0.0025,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0013
reich,8,0.0038,0.0008,0.0006,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0334,0.0197,0.0002,0.001,0.0013
sozialisation,8,0.0037,0.0008,0.0007,0.0027,0.0026,0.0019,0.0627,0.0007,0.001,0.0004,0.0009,0.0014,0.0002,0.001,0.0012
stabilisierung,8,0.0036,0.0008,0.0313,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0008,0.0029,0.0003,0.001,0.0013
theorie,8,0.0037,0.0008,0.0006,0.0029,0.0026,0.0019,0.015,0.0308,0.001,0.0002,0.0008,0.0015,0.0002,0.001,0.0013
