term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
auswirkung,20,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.001,0.0131,0.0,0.0
wirtschaft,20,0.0002,0.0131,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0
individualität,20,0.0002,0.0001,0.0001,0.0005,0.0171,0.0001,0.0,0.0001,0.0,0.001
aktuell,19,0.0083,0.0001,0.0001,0.0186,0.0001,0.0001,0.0014,0.0001,0.0,0.0
staat,19,0.0002,0.0001,0.0001,0.0002,0.017,0.0003,0.0,0.0001,0.0,0.0
themenfeld,19,0.0002,0.0101,0.001,0.0002,0.0001,0.0001,0.001,0.0001,0.0,0.0
menschenrecht,18,0.0002,0.0001,0.0001,0.0183,0.0001,0.0001,0.0,0.0001,0.0008,0.0023
notwendig,18,0.0002,0.0001,0.0001,0.0002,0.0019,0.0001,0.0,0.0118,0.0,0.0
brauchen,18,0.0002,0.0001,0.0001,0.0002,0.0144,0.0001,0.0,0.001,0.0,0.0001
schuljahrgang,18,0.0002,0.0001,0.0001,0.0222,0.0001,0.0001,0.0009,0.0001,0.0,0.0013
kinderarbeit,18,0.0002,0.0001,0.0001,0.0261,0.0001,0.0001,0.0,0.0001,0.0,0.0014
wohlstand,17,0.023,0.0003,0.0001,0.0002,0.0001,0.0001,0.0,0.0008,0.0,0.0
marktwirtschaft,16,0.0002,0.0104,0.0001,0.0002,0.0001,0.0001,0.0,0.0002,0.0,0.0
themenfelder,16,0.0002,0.0109,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0
land,16,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0008,0.0103,0.0,0.0
ddr,15,0.0002,0.0096,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0
diskussion,15,0.0115,0.0001,0.0033,0.0002,0.0001,0.0001,0.0006,0.0007,0.0,0.0
finanz,15,0.0002,0.0001,0.0001,0.0002,0.0146,0.0001,0.0,0.0001,0.0,0.0001
medienanalyse,14,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0102,0.0,0.0
inhaltsbezogener,14,0.0002,0.0001,0.0001,0.0187,0.0001,0.0001,0.0,0.0026,0.0,0.0
philosophisch,13,0.0002,0.0001,0.0001,0.0163,0.0001,0.0001,0.0001,0.0031,0.0,0.0
exemplarisch,13,0.0107,0.0001,0.0001,0.0002,0.0001,0.0014,0.0,0.0028,0.0,0.0
heraus,13,0.0002,0.0001,0.0001,0.0167,0.0034,0.0001,0.0,0.0001,0.0,0.0
leitthema,12,0.0002,0.0001,0.0001,0.0215,0.0001,0.0001,0.0,0.0001,0.0,0.0
kompetenzerwerb,11,0.0002,0.0001,0.0001,0.0197,0.0001,0.0001,0.0,0.0001,0.0,0.0
erwartet,10,0.0002,0.0001,0.0001,0.0178,0.0001,0.0001,0.0,0.0001,0.0,0.0
wiedergeben,8,0.0119,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0
