term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
eth,11,0.0002,0.0006,0.0003,0.0001,0.0003,0.0663,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
individualität,11,0.0002,0.0006,0.0003,0.0001,0.0003,0.0661,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
interesse,11,0.0003,0.0006,0.0003,0.0001,0.0023,0.0001,0.0004,0.0004,0.0205,0.0002,0.0001,0.0002
konzept,11,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0272,0.0004,0.0001,0.0001,0.0004,0.0034
kriterium,11,0.0003,0.0006,0.0138,0.0001,0.0003,0.0001,0.0126,0.0004,0.0001,0.0001,0.0001,0.0002
originalität,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
tourismusland,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0001,0.0002
typisch,11,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0376,0.0001,0.0001,0.0001,0.0002
unterrichtsinhalten,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
vielfalt,11,0.0003,0.0175,0.0003,0.0001,0.0003,0.0328,0.0034,0.0004,0.0012,0.0001,0.0001,0.0002
vielzahl,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
welt,11,0.0002,0.0006,0.0003,0.0001,0.0224,0.0001,0.0005,0.0004,0.0001,0.0001,0.0001,0.0002
zukunftsaufgabe,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
zusammenhalt,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
gemeinsamkeit,10,0.0188,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0002,0.0002,0.0001,0.0002
handlungsgrundsätz,10,0.0188,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0002,0.0002,0.0001,0.0002
ideologie,10,0.015,0.0006,0.0041,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0003,0.0001,0.0002
