term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
vornehmen,11,0.0303,0.0014,0.0195,0.0011,0.0085,0.0032,0.003,0.0002,0.0017,0.0034,0.0003,0.0178,0.0074,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0026
zugang,11,0.0009,0.0015,0.0018,0.0001,0.0014,0.003,0.0001,0.0383,0.0017,0.0035,0.0001,0.0157,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0018,0.0027
anwenden,10,0.0009,0.0014,0.0016,0.0009,0.0013,0.0032,0.0001,0.0003,0.0018,0.0033,0.0001,0.0082,0.0006,0.0005,0.0355,0.0002,0.0001,0.0004,0.0364,0.0025
berücksichtigung,10,0.0009,0.0014,0.0016,0.0002,0.0014,0.0061,0.0001,0.0002,0.0017,0.0038,0.0256,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0113,0.0016,0.0027
bezug,10,0.0009,0.0014,0.0016,0.0002,0.0014,0.0032,0.0001,0.0002,0.0017,0.0036,0.0239,0.0003,0.0073,0.0005,0.0004,0.0002,0.0003,0.0007,0.0016,0.0027
erfahrung,10,0.023,0.0014,0.0016,0.0002,0.0014,0.0033,0.0088,0.0002,0.0017,0.0033,0.0001,0.0003,0.0006,0.0139,0.0004,0.0002,0.0001,0.0004,0.0016,0.003
gemeinschaftsschule,10,0.0009,0.0014,0.0016,0.0233,0.0014,0.0038,0.0001,0.0002,0.0016,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0026
gesellschaftlich,10,0.0009,0.0014,0.0017,0.0222,0.0013,0.0035,0.0001,0.0002,0.0016,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0002,0.0159,0.0016,0.0027
gezielt,10,0.0009,0.029,0.0016,0.0168,0.0046,0.0031,0.0001,0.0002,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0109,0.0016,0.0028
gleichermaßen,10,0.0009,0.0013,0.0018,0.0001,0.0014,0.0031,0.0001,0.0372,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0005,0.0002,0.0001,0.0004,0.0018,0.0026
handlungsalternative,10,0.0009,0.0014,0.0016,0.0002,0.0014,0.0061,0.0001,0.0002,0.0016,0.0036,0.0256,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0113,0.0016,0.0026
politik,10,0.0009,0.0014,0.0016,0.0001,0.0013,0.0032,0.0001,0.0002,0.0017,0.0033,0.003,0.0003,0.0006,0.0008,0.0004,0.0002,0.0302,0.0004,0.0016,0.0027
regional,10,0.001,0.0015,0.0019,0.0001,0.0014,0.0032,0.0001,0.0002,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0231,0.0001,0.0004,0.0017,0.0026
thema,10,0.0009,0.0014,0.0016,0.0001,0.0013,0.0032,0.0001,0.0002,0.0018,0.0036,0.0001,0.0003,0.0464,0.0004,0.0004,0.0003,0.0001,0.0222,0.0016,0.0317
tolerieren,10,0.0009,0.0014,0.0018,0.0001,0.0013,0.0032,0.0033,0.0383,0.0018,0.0035,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0018,0.0027
wechselwirkung,10,0.0009,0.0014,0.002,0.0001,0.0014,0.0032,0.0001,0.0003,0.0017,0.0033,0.0001,0.0004,0.0006,0.0005,0.0005,0.0231,0.0001,0.0004,0.0017,0.0027
wirtschaftlich,10,0.001,0.0014,0.0017,0.0248,0.0014,0.0034,0.0001,0.0002,0.009,0.0036,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0017,0.0026
überprüfen,10,0.0009,0.0014,0.0016,0.0001,0.0014,0.0032,0.0001,0.0002,0.002,0.0034,0.0001,0.0003,0.0006,0.0405,0.0228,0.0002,0.0001,0.0004,0.0016,0.0029
befähig,9,0.0009,0.0014,0.0018,0.0001,0.0013,0.0033,0.0001,0.0383,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0018,0.0027
geschlechtsspezifisch,9,0.001,0.0015,0.0017,0.0002,0.0013,0.0062,0.0001,0.0002,0.0018,0.0035,0.0256,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0007,0.0016,0.0026
gesellschaftswissenschaftlich,9,0.0009,0.0014,0.0017,0.0001,0.0014,0.0033,0.0001,0.0383,0.0017,0.0035,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0018,0.0026
grundgesetz,9,0.0009,0.0014,0.0017,0.0001,0.0013,0.0034,0.0001,0.0384,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0019,0.0027
gruppenarbeit,9,0.0009,0.0014,0.0016,0.0002,0.0014,0.0062,0.0001,0.0002,0.0017,0.0037,0.0256,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0007,0.0016,0.0026
idee,9,0.0009,0.0014,0.0016,0.0001,0.0013,0.0032,0.0001,0.0002,0.0016,0.0037,0.0001,0.0274,0.023,0.0005,0.0004,0.0002,0.0001,0.0004,0.0015,0.0026
leiten,9,0.0009,0.0014,0.0017,0.0001,0.0013,0.0033,0.0001,0.0383,0.0016,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0019,0.0027
multiperspektivisch,9,0.0009,0.0014,0.0018,0.0001,0.0013,0.0033,0.0001,0.0002,0.0017,0.0039,0.0001,0.0003,0.0006,0.0005,0.0004,0.0145,0.0001,0.0004,0.019,0.0027
positionieren,9,0.0009,0.0014,0.0016,0.0002,0.0014,0.0032,0.0001,0.0003,0.0017,0.0037,0.0022,0.0004,0.0227,0.0005,0.0368,0.0002,0.0001,0.0004,0.0017,0.0027
sachverhalt,9,0.0009,0.0014,0.0195,0.0002,0.0013,0.0031,0.0001,0.0002,0.043,0.0034,0.003,0.0003,0.0006,0.0005,0.0004,0.0002,0.0093,0.0005,0.0016,0.0026
standpunkt,9,0.0009,0.0169,0.0016,0.0002,0.0013,0.0047,0.0034,0.0002,0.0017,0.0037,0.013,0.0003,0.0113,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0027
verknüpfen,9,0.0009,0.0014,0.0017,0.0001,0.0014,0.0033,0.0001,0.0002,0.0017,0.0035,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0199,0.0004,0.0016,0.0027
wahlbereich,9,0.0009,0.0014,0.0016,0.0001,0.0013,0.0033,0.0002,0.0002,0.0018,0.0032,0.0018,0.0003,0.0006,0.0005,0.0592,0.0002,0.0001,0.0004,0.0017,0.0027
zugehörigkeit,9,0.0009,0.0014,0.0017,0.0001,0.0014,0.0033,0.0001,0.0383,0.0017,0.0032,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0018,0.0026
zuhören,9,0.0009,0.0014,0.0016,0.0001,0.0014,0.0032,0.0002,0.0002,0.0018,0.0034,0.0001,0.0201,0.0006,0.0004,0.0004,0.0002,0.0001,0.0004,0.0497,0.0026
überzeugung,9,0.0009,0.0014,0.0018,0.0001,0.0014,0.0033,0.0001,0.0383,0.0017,0.0033,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0018,0.0027
arbeiten,8,0.0009,0.0014,0.0016,0.0001,0.0014,0.0034,0.0001,0.0002,0.0018,0.0033,0.0001,0.026,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0015,0.0027
aspekt,8,0.0009,0.0014,0.0019,0.0001,0.0014,0.0031,0.0001,0.0002,0.0017,0.0033,0.0001,0.0003,0.0006,0.0005,0.0004,0.0196,0.0001,0.0004,0.0016,0.0026
beitrag,8,0.0009,0.0014,0.0016,0.0001,0.0014,0.0032,0.0001,0.0002,0.0371,0.0034,0.0001,0.0286,0.0006,0.0007,0.0004,0.0002,0.0001,0.0004,0.0016,0.0027
