,text_excerpt,state,school type,grade,year,subject,doc_id
28064,"soziale Vernetzung Heimat, Fremde Mensch, Tier, Umwelt Konflikte, Streit, Schlichtung Regeln, Zusammenleben Denken, Erfahrung, Wissen Symbole, Rituale, Transzendenz Motive, Pflicht, -Konsequenzen Medien, Darstellungen, Selbstdarstellungen Aggression, Gewalt, Konfliktlösung Gerechtes Handeln, Werte, Normen, Sprache, Wissenschaft, Wirklichkeit Weltbilder, Religionen, Kulturen Selbst, Identität, -Geschlecht Gewissen, Verantwortung, Freiheit Medien, Kommunikation, Öffentlichkeit Leben, Sinn, Arbeit Natur, Kultur, Technik Krieg, Frieden Recht, Gerechtigkeit, Moral Fragen nach der Wirklichkeit",Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28064
28065,"welche die menschliche Zivilisation seit mehr als Jahren in immer neuer Form prägen, neuartige ethische Herausforderungen entstanden sind. Perspektiven Im Mittelpunkt des Ethikunterrichts am Gymnasium stehen die Begriffe Werte und Normen, Sinn und Moral, denn der Ethikunterricht behandelt die Frage nach dem guten Leben. Dies beinhaltet das eigene Leben ebenso wie das gute Leben der anderen, womit sich die moralische Dimension",Bayern,Gym,6,,"Ethik, Philo",28065
28066,"Wirkungen herausarbeiten, - verschiedene gesellschaftstheoretische Denkansätze und Denkmodelle erklären und erörtern, - sich an Debatten zu ausgewählten gesellschaftlichen Fragestellungen beteiligen, - gesellschaftliche Handlungsebenen in ihrer Funktion beschreiben, - sich mit Normen und Institutionen als Regelsysteme zwischen Freiheit und Sicherheit kritisch auseinandersetzen, - Entwicklungen in der Gesellschaft exemplarisch auf Nachhaltigkeit prüfen, - Wechselwirkungen der gesellschaftlichen Handlungsebenen in Politik, im Natur-, Sozial- und",Thüringen,Regelschule,,2012,"Ethik, Philo",28066
28067,"- den Tod als Wesensmerkmal des Lebens charakterisieren, - den Umgang unserer Gesellschaft mit Sterben und Tod beschreiben, - sich mit ethischen Fragen der Organspende auseinandersetzen, - Veränderungen von Traditionen, Normen und Werten in unserer Geschichte erschließen, - die Möglichkeiten und die Grenzen des Umgangs mit der eigenen Zeit diskutieren. Methodenkompetenz Der Schüler kann - Fragebögen entwickeln, - Interviews führen und",Thüringen,Regelschule,,2012,"Ethik, Philo",28067
28068,"einem Sachverhalt formulieren, wobei die Kriterien und die wesentlichen Gründe für die Beurteilung offen gelegt werden Bewerten Stellung nehmen III Einen Sachverhalt oder ein Material nach selbst gewählten und begründeten Normen oder Kriterien beurteilen, wobei diese persönlichen Wertbezüge offenbart werden Erschließen III Etwas Neues oder nicht explizit Formuliertes auf der Basis von Theorien und Modellen durch Schlussfolgerungen herleiten Entwerfen III Ein",Bremen,Gym,Sek2,2008,Sozialkunde,28068
28069,"Verfassen fachlicher Texte erfolgt adressaten- und anlassbezogen. Bewertungs-/ Beurteilungsaufgaben Das Fach Biologie trägt zur Entwicklung von Wertvorstellungen, Meinungsbildung und Entscheidungsfindung bei. Dabei ist in auftretenden Problemsituationen die Unterscheidung von Werten, Normen und Fakten wichtig. Die Benennung von Handlungsoptionen erfolgt aus der Beachtung verschiedener Perspektiven. Umstrittene Sachverhalte oder Medienbeiträge werden unter fachlichen Gesichtspunkten überprüft. Abiturprüfung Die allgemeinen Regelungen zur schriftlichen und mündlichen",NRW,Gym,Sek2,2022,Bio,28069
28070,"eine Auseinandersetzung mit einander widersprechenden Wahrheitsansprüchen sind Empathiefähigkeit sowie eine grundsätzliche Toleranzbereitschaft maßgeblich. Toleranz darf dabei nicht mit Beliebigkeit und Gleichgültigkeit verwechselt werden. So bilden etwa Menschenwürde und Menschenrechte als Normen mit universalem Geltungsanspruch die unverhandelbare Basis der Demokratie und des sozialen Rechtsstaats. Der Kompetenzbereich Fragen nach der Wirklichkeit fordert die Schülerinnen und Schüler also dazu auf, sich eigene und ihnen",Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28070
28071,"Hildesheim Herausgegeben vom Niedersächsischen Kultusministerium Hannover, Schiffgraben Druck: Unidruck Weidendamm Hannover Das Kerncurriculum kann als PDF-Datei vom Niedersächsischen Bildungsserver NiBiS http://www.cuvo.nibis.de heruntergeladen werden. Inhalt Seite Bildungsbeitrag des Faches Werte und Normen Kompetenzorientierter Unterricht Kompetenzbereiche Kompetenzentwicklung Innere Differenzierung Erwartete Kompetenzen Prozessbezogene Kompetenzbereiche Inhaltsbezogene Kompetenzbereiche Kompetenzen nach Doppelschuljahrgängen Schuljahrgänge und Schuljahrgänge und Schuljahrgänge und Leistungsfeststellung und Leistungsbewertung Aufgaben der Fachkonferenz Anhang A Operatoren",Niedersachsen,Hauptschule,,2018,"Ethik, Philo",28071
28072,"Kompetenzbereiche Kompetenzen nach Doppelschuljahrgängen Schuljahrgänge und Schuljahrgänge und Schuljahrgänge und Leistungsfeststellung und Leistungsbewertung Aufgaben der Fachkonferenz Anhang A Operatoren A Übersicht über die verbindlichen Grundbegriffe Bildungsbeitrag des Faches Werte und Normen Das Unterrichtsfach Werte und Normen leistet einen wichtigen Beitrag, um den Ansprüchen gerecht zu werden, die der des Niedersächsischen Schulgesetzes formuliert. Dem dort verankerten Ziel, ... die Persönlichkeit der Schülerinnen",Niedersachsen,Hauptschule,,2018,"Ethik, Philo",28072
28073,"und Schuljahrgänge und Schuljahrgänge und Leistungsfeststellung und Leistungsbewertung Aufgaben der Fachkonferenz Anhang A Operatoren A Übersicht über die verbindlichen Grundbegriffe Bildungsbeitrag des Faches Werte und Normen Das Unterrichtsfach Werte und Normen leistet einen wichtigen Beitrag, um den Ansprüchen gerecht zu werden, die der des Niedersächsischen Schulgesetzes formuliert. Dem dort verankerten Ziel, ... die Persönlichkeit der Schülerinnen und Schüler auf der Grundlage",Niedersachsen,Hauptschule,,2018,"Ethik, Philo",28073
