term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
nachhaltigkeit,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0239,0.0,0.0
deutschland,112,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0018,0.0082,0.0
zukunft,112,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0
wandel,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0
glück,111,0.0,0.0,0.0137,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0
thema,110,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094
unternehmen,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.028,0.0,0.0
inhaltsbezogen,107,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0102
privat,106,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0153
schulisch,106,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0031,0.0
prüfen,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0008
einstellung,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0005,0.0,0.0,0.0
haltung,104,0.0016,0.0,0.0,0.0,0.0,0.0014,0.0,0.0091,0.0,0.0,0.0017,0.0
dar,103,0.0,0.0,0.0,0.0089,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
demokratie,103,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.0
zeigen,103,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0084,0.0,0.0,0.0013,0.0
einfluss,103,0.0,0.0,0.0,0.0,0.0012,0.0,0.0018,0.0,0.0011,0.0114,0.0,0.0
marktwirtschaft,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0,0.0
leisten,102,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0
bewertung,102,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spannungsfeld,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0
diskussion,101,0.0,0.0,0.0032,0.0014,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0078
erwerben,98,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0082,0.0,0.0,0.0,0.0
inhaltlich,98,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0
gegenstand,94,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vielfalt,94,0.0,0.0,0.0,0.0,0.0022,0.0,0.004,0.0,0.0,0.0082,0.0,0.0
familie,93,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0
ebene,92,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0
wertorientiertes,91,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analysekompetenz,90,0.0001,0.0,0.0,0.0,0.0097,0.0011,0.0,0.0,0.0,0.0,0.0026,0.0
methodischdidaktisch,89,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0078
erfolgreich,85,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0019,0.0,0.0
europäisch,85,0.0014,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lassen,83,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0102,0.0,0.0,0.0,0.0
globalisierung,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0
maßnahme,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,0.0,0.0
unternehmerisch,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157,0.0,0.0
markt,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.012,0.0
verbraucher,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0
meinung,77,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0
sicherung,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0089,0.0
strukturieren,77,0.0,0.0092,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0
planen,76,0.0,0.0107,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
überprüfen,75,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033
bereitschaft,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.001,0.0
mündig,74,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.0,0.0,0.0,0.0
allgemein,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,0.0
ökosystem,72,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0
lokal,70,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zielen,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0
ungleichheit,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
sozialkompetenz,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0
bleiben,64,0.0006,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0
antrieb,62,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0
erproben,62,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verbraucherinne,58,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.01,0.0,0.0
minderheitenschutz,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0
förderung,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0,0.0
vertrauen,47,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arbeitswelt,46,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0083,0.0,0.0
hierbei,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081
nutzung,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084
wirksamkeit,46,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lässt,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094
