term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
fächerübergreifend,35,0.0,0.0,0.0,0.0001,0.0,0.0,0.0199,0.0001,0.0001,0.0,0.0,0.0007,0.0,0.0,0.0
handlung,35,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0038,0.0,0.0,0.0,0.0004
prägung,35,0.0,0.0,0.0,0.0001,0.0,0.0038,0.0,0.0001,0.0001,0.0,0.008,0.0,0.0,0.0,0.0
biologie,35,0.0,0.0,0.0,0.0001,0.0012,0.0,0.019,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
spanisch,35,0.0,0.0,0.0,0.0001,0.0,0.0,0.0216,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
erörtern,35,0.0,0.0,0.0,0.0001,0.0,0.0005,0.0007,0.0001,0.0001,0.0,0.0,0.0103,0.0,0.0,0.0
etc,34,0.0,0.0,0.0103,0.0001,0.0,0.0,0.0,0.0001,0.0148,0.0,0.001,0.0,0.0,0.0,0.0009
geben,33,0.0,0.0,0.0,0.0001,0.0054,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0104,0.0,0.0
verbindung,33,0.0,0.0016,0.0,0.0001,0.0001,0.012,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
katholisch,33,0.0,0.0,0.0,0.0001,0.0,0.0,0.0205,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
identifizieren,32,0.0,0.0,0.0121,0.0001,0.0,0.0,0.0032,0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0005
inhaltsfelder,32,0.0127,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
engagement,32,0.0,0.0,0.0,0.0001,0.0038,0.0098,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0004
bedürfnis,31,0.0,0.0,0.0,0.0157,0.0,0.0,0.0042,0.0001,0.0053,0.0,0.0,0.0,0.0,0.0,0.0011
ökologisch,31,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0082,0.0
leitperspektive,31,0.0,0.0,0.0,0.0001,0.0096,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
fenster,31,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0206,0.0,0.0,0.0,0.0,0.0
nationalstaat,30,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0063,0.0158,0.0,0.0,0.0,0.0,0.0
weltanschaulich,30,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0172,0.0001,0.0,0.0,0.0,0.0046,0.0,0.0
grundsatz,30,0.0,0.0,0.0038,0.0001,0.0009,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0139,0.0,0.0
ideengeschicht,30,0.0117,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
russisch,30,0.0,0.0,0.0,0.0001,0.0,0.0,0.0186,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
allgemein,29,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0132,0.0,0.0,0.0,0.0105,0.0,0.0
