term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
fortpflanzung,129,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039
bürgerrecht,128,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formulieren,128,0.0,0.0011,0.015,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eingriff,128,0.0,0.0011,0.0,0.0028,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0001,0.0,0.0081
zelle,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149
chance,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
herausforderung,124,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moral,124,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0001,0.0,0.0091,0.0,0.0,0.0,0.0
berücksichtigung,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wandel,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frei,121,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0
nachhaltigkeit,120,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
körper,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
phänomen,117,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0108,0.0,0.0,0.0
geben,116,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0097,0.0,0.0026,0.0023,0.0,0.0
aktiv,115,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pflanze,115,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spielen,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0143,0.0,0.0,0.0,0.0
wahlbereich,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169,0.0,0.0,0.0
deutschland,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0,0.0,0.0,0.0
kunst,111,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173,0.0
stammbaum,111,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,0.0,0.0021
quelle,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.0,0.0
liebe,110,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0
grund,109,0.0,0.0016,0.0091,0.0014,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gefühl,108,0.0,0.0001,0.0,0.0,0.0023,0.0012,0.0,0.0,0.0,0.0008,0.0091,0.0,0.0,0.0,0.0
bau,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126
genetisch,108,0.0,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023
