term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
tragen,50,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0001,0.0039,0.0001,0.0032,0.0187,0.0,0.0
friedlich,49,0.0022,0.0,0.0001,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0001,0.002,0.0001,0.0,0.0001,0.0101,0.0
mecklenburgvorpommern,49,0.0,0.0,0.0103,0.0,0.0,0.0074,0.0,0.0,0.0172,0.0,0.0,0.0,0.0079,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
wertvorstellung,49,0.0,0.0,0.0001,0.0,0.0,0.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0029,0.0126,0.0,0.0001,0.0,0.0059,0.0019,0.0
raum,49,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0106,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
problem,48,0.0011,0.002,0.0001,0.0,0.0068,0.0,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0143,0.0,0.0001,0.0006,0.0
hintergrund,48,0.0,0.0023,0.0001,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.006,0.0001,0.0,0.0001,0.0,0.0
folge,48,0.0,0.0009,0.0001,0.0,0.0,0.0,0.0,0.0182,0.0,0.0148,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
fördern,47,0.0,0.0,0.0001,0.0056,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0001,0.0,0.009,0.0,0.0001,0.0,0.0
kenntnis,47,0.0,0.0018,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0204,0.0,0.0001,0.0042,0.0001,0.0,0.0
englisch,47,0.0,0.0,0.0001,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
kritisch,47,0.0,0.0,0.0001,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0049,0.0001,0.0,0.0025,0.0046,0.0001,0.0,0.0
erwerb,47,0.0,0.0,0.0001,0.0113,0.0,0.0,0.0,0.0,0.0236,0.0,0.0007,0.0,0.0019,0.0001,0.0,0.0001,0.0,0.0001,0.0008,0.0
vergangenheit,46,0.0008,0.0016,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0107,0.0001,0.0,0.0
nutzen,46,0.0,0.0,0.0001,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0038,0.0001,0.0,0.0189
wesentlich,45,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0016,0.0,0.021,0.0,0.0001,0.0,0.0001,0.0067,0.0
gemeinsamkeit,44,0.0,0.0,0.0001,0.0,0.0,0.0,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
verstehen,44,0.0,0.0,0.0001,0.0184,0.0,0.0037,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0001,0.0007,0.0001,0.0028,0.0
blick,44,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0001,0.0043,0.0001,0.0112,0.0
setzen,44,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0153,0.0039,0.0001,0.0,0.0001,0.0039,0.0
funktion,43,0.0,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0001,0.0,0.0001,0.0029,0.0165,0.0,0.0043
mittelmeerraum,43,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
armut,43,0.0064,0.0,0.0001,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0001,0.0017,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
position,43,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0226,0.0,0.0002,0.001,0.0001,0.0,0.0
bild,43,0.0,0.0008,0.0001,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0267
stadt,43,0.0,0.0038,0.0001,0.0027,0.0001,0.0,0.0,0.0,0.0,0.0029,0.0,0.009,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
wirklichkeit,42,0.0,0.0005,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0025,0.0001,0.0,0.0256,0.0,0.0
