Bundesland,Fach,Schulart,Klassenstufe(n),Jahr,Gesamtwortanzahl,Referenz,Dateiname
Bayern,Sozialkunde,Gym,12,2023,699,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 12 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/wirtschaft-und-recht/grundlegend,LP Bayern Wirtschaft und Recht Gym 12 GK 2023.pdf
Bayern,Sozialkunde,Gym,13,2023,1696,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 13 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/pug/erhoeht,LP Bayern Politik und Gesellschaft Gym 13 LK 2023.pdf
Bayern,Sozialkunde,Gym,13,2023,1059,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 13 grundelgendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/pug/grundlegend,LP Bayern Politik und Gesellschaft Gym 13 GK 2023.pdf
Bayern,Sozialkunde,Gym,13,2023,983,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 13 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/wirtschaft-und-recht/erhoeht,LP Bayern Wirtschaft und Recht Gym 13 LK 2023.pdf
Bayern,Sozialkunde,Gym,13,2023,598,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 13 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/wirtschaft-und-recht/grundlegend,LP Bayern Wirtschaft und Recht Gym 13 GK 2023.pdf
Bayern,Sozialkunde,Gym,,o. J.,3418,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fächerprofil Politik und Gesellschaft Gymnasium. https://www.lehrplanplus.bayern.de/fachprofil/gymnasium/pug,LP Bayern Politik und Gesellschaft Gym Fachprofil.pdf
Bayern,Sozialkunde,Gym,,o. J.,2961,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium. https://www.lehrplanplus.bayern.de/fachprofil/gymnasium/wirtschaft-und-recht,LP Bayern Wirtschaft und Recht Gym Fachprofil.pdf
Bayern,Sozialkunde,Realschule,10,2023,3955,Staatsinstitut für Schulqualität und Bildungsforschung München (2023). LehrplanPLUS Realschule,LP Bayern Politik und Gesellschaft Realschule 10 2023.pdf
Bayern,Sozialkunde,Realschule,,2023,6973,Staatsinstitut für Schulqualität und Bildungsforschung München (2023). LehrplanPLUS Realschule,LP Bayern Wirtschaft und Recht Realschule 2023.pdf
Berlin,Bio,Gym,Sek2,2021,8876,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Rahmenlehrplan für die gymnasiale Oberstufe Teil C Biologie.",LP BerlinBB Bio Gym Sek2 2021.pdf
Berlin,Bio,,7-10,2015,8698,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Naturwissenschaften. Klasse 7-10",LP BerlinBB Bio 7-10 2015.pdf
Berlin,Bio,,"5,6",2015,7343,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Biologie. Klasse 5,6","LP BerlinBB Bio 5,6 2015.pdf"
Berlin,"Ethik, Philo",Gym,Sek2,2022,7055,"Ministerium für Bildung, Jugend und Familie Berlin (2022). Rahmenlehrplan für die gymnasiale Oberstufe Teil C Philosophie.",LP Berlin BB Philo Gym Sek2 2022.pdf
Berlin,"Ethik, Philo",,7-10,2015,7790,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Ethik. Klasse 7-10",LP Berlin BB Ethik 7-10 2015.pdf
Berlin,Geschichte,Gym,Sek2,2022,10300,"Ministerium für Bildung, Jugend und Familie Berlin (2022). Rahmenplan für die gymnasiale Oberstufe Teil C Geschichte.",LP Berlin BB Geschichte Gym Sek2 2022.pdf
Berlin,Geschichte,,7-10,2015,8121,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Geschichte. Klasse 7-10",LP Berlin BB Geschichte 7-10 2015.pdf
Berlin,Psychologie,Gym,Sek2,2022,7215,"Ministerium für Bildung, Jugend und Familie Berlin (2022). Rahmenplan für die gymnasiale Oberstufe Teil C Psychologie.",LP Berlin BB Psychologie Gym Sek2 2022.pdf
Berlin,Psychologie,,"9,10",2015,3200,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Psychologie - Wahlpflichfach. Klasse 9-10","LP Berlin BB WP Psychologie 9,10 2015.pdf"
Berlin,Sozialkunde,Gym,Sek2,2022,9617,"Ministerium für Bildung, Jugend und Familie Berlin (2022). Rahmenlehrplan für die gymnasiale Oberstufe Teil C Politikwissenschaften",LP Berlin BB Politikwissenschaft Gym Sek2.pdf
Berlin,Sozialkunde,Gym,Sek2,2022,8257,"Ministerium für Bildung, Jugend und Familie Berlin (2022). Rahmenlehrplan für die gymnasiale Oberstufe Teil C Sozialwissenschaft",LP Berlin BB Sozialwissenschaften Gym Sek2.pdf
Berlin,Sozialkunde,Gym,Sek2,2022,7340,"Ministerium für Bildung, Jugend und Familie Berlin (2022). Rahmenlehrplan für die gymnasiale Oberstufe Teil C Wirtschaftswissenschaft",LP Berlin BB Wirtschaftswissenschaften Gym Sek2.pdf
Berlin,Sozialkunde,,7-10,2015,7080,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Politische Bildung. Klasse 7 - 10",LP Berlin BB Politische Bildung 7-10.pdf
Berlin,Sozialkunde,,"5,6",2015,10104,"Ministerium für Bildung, Jugend und Sport Berlin (2015). Teil C Gesellschaftswissenschaft. Klasse 5,6","LP Berlin BB Gesellschaftswissenschaften 5,6.pdf"
Bremen,Bio,Oberschule,Sek1,2010,8917,"Landesinstitut für Schule Bremen (2010). Naturwissenschaften Biologie, Chemie, Physik. Bildungsplan für die Oberschule",LP Bremen Bio Oberschule Sek1 2010.pdf
Bremen,Bio,,Sek2,2022,9957,Landesinstitut für Schule Bremen (2022). Biologie - Bildungsplan für die gymnasiale Oberstufe,LP Bremen Bio Sek2 2022.pdf
Bremen,"Ethik, Philo",Gym,5-9,2017,4533,Landesinstitut für Schule Bremen (2017). Bildungsplan Philosophie Gymnasium Jahrgangsstufen 5 - 9,LP Bremen Philosophie Gym 5-9 2017.pdf
Bremen,"Ethik, Philo",Gym,Sek2,2009,4165,Landesinstitut für Schule Bremen (2009). Philosophie Bildungsplan für die gymnasiale Oberstufe,LP Bremen Philosophie Gym Sek2 2009.pdf
Bremen,"Ethik, Philo",Oberschule,5-10,2017,4631,Landesinstitut für Schule Bremen (2017). Philosophie - Bildungsplan Oberschule Jahrgang 5 - 10,LP Bremen Philosophie Oberschule 2017.pdf
Bremen,Geschichte,Gym,Sek1,2006,5814,"Landesinstitut für Schule Bremen (2008). Welt-Umweltkunde, Geschichte, Geografie,Politik. Bildungsplan für das Gymnasium. Jahrgangsstufe 5 - 10",LP Bremen Geschichte Gym Sek1 2006.pdf
Bremen,Geschichte,Gym,Sek2,2008,3504,Landesinstitut für Schule Bremen (2008). Geschichte - Bildungsplan für die gymnasiale Oberstufe,LP Bremen Geschichte Gym Sek2 2008.pdf
Bremen,Psychologie,Gym,Sek2,2009,3321,Landesinstitut für Schule Bremen (2009). Psychologie - Bildungsplan für die gymnasiale Oberstufe,LP Bremen Psychologie Gym Sek2 2009.pdf
Bremen,Sozialkunde,Gym,Sek1,2006,4300,"Landesinstitut für Schule Bremen (2006). Welt- Umwelkunde, Geschichte, Geographie - Bildungsplan für das Gymnasium. Jahrgang 5 - 10",LP Bremen Politik Gym Sek1 2006.pdf
