term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
wissen,17,0.0054,0.0004,0.0597,0.0001,0.0004,0.0001,0.0005,0.0007,0.0005,0.0001,0.0002,0.0004,0.0002,0.0001,0.0011
zentral,17,0.0018,0.0004,0.0005,0.0306,0.0166,0.0001,0.0004,0.0007,0.0005,0.0002,0.0001,0.0007,0.0002,0.0001,0.0011
überzeugung,17,0.0002,0.0004,0.0218,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0281,0.0011
etc,16,0.0002,0.0076,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0443,0.0041,0.0001,0.0011
familie,16,0.0002,0.0004,0.0005,0.0001,0.0004,0.1014,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
fördern,16,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0005,0.0007,0.0005,0.0099,0.0198,0.0004,0.0002,0.0002,0.0011
kommunikation,16,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0487,0.0005,0.0001,0.0001,0.0235,0.0064,0.0001,0.0011
lernprozesse,16,0.0002,0.0004,0.0005,0.0312,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0085,0.0001,0.0012
verantwortung,16,0.0002,0.0004,0.0005,0.0001,0.0042,0.0001,0.0005,0.0007,0.0005,0.0143,0.0001,0.0165,0.0002,0.0002,0.0011
weise,16,0.0002,0.0004,0.0005,0.0328,0.0004,0.0001,0.0092,0.0007,0.0005,0.0001,0.0001,0.0004,0.0003,0.0001,0.0011
aufgabe,15,0.0002,0.0004,0.0005,0.0001,0.0004,0.1006,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
bindung,15,0.0156,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0195,0.0027,0.0001,0.0004,0.0002,0.0002,0.0011
gemeinschaft,15,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0316,0.0011
innerer,15,0.0002,0.0004,0.0005,0.0001,0.0108,0.001,0.0004,0.0007,0.0005,0.0001,0.0069,0.0004,0.0002,0.0001,0.0012
person,15,0.0002,0.0004,0.0047,0.0001,0.0004,0.0001,0.0208,0.0007,0.0005,0.0001,0.0032,0.0004,0.0081,0.0001,0.0012
sensibel,15,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0095,0.0004,0.0002,0.0001,0.0012
theorie,15,0.0183,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0023,0.0001,0.0004,0.0002,0.0002,0.026
