term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
klasse,39,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0185,0.0,0.0,0.0,0.0001,0.0
fachinhalte,39,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0028,0.0144,0.0,0.0,0.0001,0.0006
fachliche,38,0.0009,0.0,0.0467,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
sozialverhalten,38,0.0091,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
geschichte,37,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0194,0.0036,0.0
stoffwechsel,36,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0112,0.0023,0.0,0.0001,0.0001,0.0011
angewandte,35,0.0,0.0,0.0253,0.0001,0.0,0.0002,0.0049,0.0,0.0,0.0,0.0077,0.0
lauf,35,0.0,0.0,0.0001,0.0001,0.0,0.0222,0.0,0.0,0.0,0.0,0.0001,0.004
schwerpunkt,35,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0128,0.0,0.0,0.0001,0.0012
ableiten,34,0.0,0.0,0.0001,0.0001,0.0182,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
handeln,33,0.0,0.0,0.0001,0.0166,0.0,0.0002,0.0,0.0,0.0001,0.0049,0.0001,0.0017
lassen,32,0.0006,0.0,0.0001,0.0001,0.0132,0.0002,0.0,0.0,0.0,0.0037,0.0001,0.0
gang,32,0.0,0.0,0.0001,0.0193,0.0,0.0002,0.0,0.0,0.0028,0.0,0.0001,0.0
aufrecht,31,0.0,0.0,0.0001,0.0121,0.0,0.0002,0.0,0.0,0.0025,0.0,0.0001,0.0005
chemisch,31,0.0,0.0,0.0107,0.0001,0.0,0.0002,0.0111,0.0,0.0,0.0,0.0001,0.0
