term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
leistung,7,0.0003,0.0004,0.0007,0.0103,0.0039,0.0414,0.0003,0.0005,0.0025,0.0056,0.0008,0.0006
nutzung,7,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0026,0.0015,0.0009,0.0248
privat,7,0.0003,0.0005,0.0005,0.0002,0.004,0.0006,0.0158,0.0005,0.0026,0.0163,0.0008,0.0007
problem,7,0.0003,0.0005,0.0005,0.0002,0.0039,0.0007,0.0003,0.0005,0.0025,0.0002,0.0546,0.0006
problemlösung,7,0.0238,0.0004,0.0005,0.0002,0.0039,0.0006,0.0005,0.0005,0.0026,0.0002,0.0008,0.0007
prozeß,7,0.0003,0.0004,0.0292,0.0255,0.004,0.0006,0.0003,0.0005,0.0026,0.0002,0.0008,0.0007
staat,7,0.0003,0.0005,0.0005,0.0002,0.0039,0.0006,0.0227,0.0005,0.0706,0.0068,0.0009,0.0007
wesentlich,7,0.0003,0.0032,0.0006,0.0002,0.0039,0.0414,0.0115,0.0005,0.0026,0.0002,0.0009,0.0006
wichtig,7,0.0003,0.0005,0.0457,0.0002,0.004,0.0006,0.0004,0.0005,0.0025,0.0002,0.0008,0.0007
wiedergeben,7,0.0003,0.0004,0.0006,0.0279,0.0039,0.0006,0.0003,0.0004,0.0026,0.0002,0.0009,0.0006
zielen,7,0.0003,0.0028,0.0005,0.0002,0.0039,0.0006,0.0028,0.0333,0.0025,0.0002,0.0008,0.0006
beziehungsweise,6,0.0003,0.0004,0.0005,0.0002,0.004,0.0006,0.0003,0.0333,0.0025,0.0002,0.0008,0.0048
chance,6,0.0003,0.0004,0.0005,0.0002,0.004,0.0006,0.0003,0.0004,0.0027,0.0002,0.0009,0.0251
charakterisier,6,0.0003,0.0004,0.0007,0.0103,0.004,0.0414,0.0003,0.0005,0.0026,0.0002,0.0008,0.0007
diagramm,6,0.0028,0.0005,0.0006,0.0002,0.004,0.0435,0.0003,0.0005,0.0026,0.0002,0.0008,0.0006
einzeln,6,0.0003,0.0005,0.0531,0.0002,0.0039,0.0006,0.0003,0.0005,0.0025,0.0003,0.0008,0.0007
erarbeitet,6,0.0003,0.0171,0.0005,0.0002,0.004,0.0006,0.0004,0.0004,0.0026,0.0002,0.0009,0.0007
erweitern,6,0.0003,0.0005,0.0005,0.0002,0.004,0.0006,0.02,0.0005,0.0026,0.0002,0.0008,0.0007
fertigkeit,6,0.0017,0.0004,0.0005,0.0002,0.0041,0.0006,0.0067,0.0005,0.0027,0.0002,0.0008,0.0095
gefestigt,6,0.0003,0.0171,0.0005,0.0002,0.004,0.0006,0.0003,0.0005,0.0026,0.0002,0.0009,0.0007
grenze,6,0.0007,0.0005,0.0005,0.0002,0.004,0.0006,0.0004,0.0005,0.0025,0.0086,0.013,0.0006
