term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
maßnahme,64,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0043,0.0001,0.0029,0.0,0.0019,0.0029,0.0001,0.0001,0.0006,0.0,0.0261,0.0,0.0143,0.0001
armut,63,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0035,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0699
grund,63,0.0009,0.0,0.0001,0.0,0.0001,0.0239,0.0,0.0001,0.0006,0.0044,0.0,0.0036,0.0001,0.0001,0.0,0.0,0.0001,0.0033,0.0001,0.0001
nennen,63,0.0,0.0044,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0081,0.0045,0.0,0.0,0.0315,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
vorurteil,63,0.0,0.0,0.0001,0.0,0.0123,0.0067,0.0184,0.0001,0.0,0.0,0.0,0.0011,0.0001,0.0001,0.0,0.0,0.0001,0.0068,0.0001,0.0001
führen,62,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0027,0.0001,0.0166,0.005,0.0,0.0002,0.0001,0.0001,0.0,0.0,0.0001,0.0074,0.01,0.0001
verlauf,62,0.0041,0.0,0.0001,0.0084,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0014,0.0001,0.0001,0.0041,0.0035,0.0001,0.0,0.0001,0.0001
evolution,61,0.0385,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0025,0.0,0.0001,0.0001,0.0011,0.0,0.0001,0.0,0.0001,0.0001
kulturell,61,0.0094,0.0,0.0001,0.0,0.0118,0.0,0.0013,0.0001,0.0,0.0,0.0,0.0024,0.0001,0.0001,0.0,0.0122,0.0001,0.0013,0.0001,0.0001
umgang,61,0.0,0.0,0.0001,0.0036,0.0001,0.0011,0.0136,0.0001,0.0036,0.0026,0.0,0.0003,0.0001,0.0146,0.0001,0.0,0.0001,0.0062,0.0001,0.0001
iii,60,0.0,0.0281,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
information,60,0.0,0.0078,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0169,0.0004,0.0,0.0006,0.0001,0.0001,0.0008,0.0036,0.0001,0.0015,0.0001,0.0001
perspektive,59,0.0,0.0,0.0001,0.0033,0.0001,0.0,0.002,0.0001,0.0,0.0,0.0,0.0025,0.0001,0.0001,0.0,0.0,0.0001,0.0265,0.0001,0.0001
ökologisch,58,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.025,0.0052,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.002,0.0001
individuell,56,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0079,0.0031,0.0,0.0,0.0001,0.0001,0.0009,0.0,0.0001,0.0279,0.0036,0.0001
jahrhundert,56,0.0,0.0,0.0001,0.0094,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0001,0.0001,0.0,0.0069,0.0087,0.0,0.0001,0.0001
