term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
wirtschaftlich,45,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0092,0.0,0.0,0.0,0.019,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
hinblick,44,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0235,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0016
ethikunterricht,44,0.002,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0106,0.0012,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0
grundbegriff,43,0.0,0.0,0.0001,0.0001,0.0263,0.0,0.0,0.0007,0.0073,0.0,0.0,0.0,0.0001,0.0059,0.0031,0.0,0.0,0.0002,0.0,0.0
system,42,0.0,0.012,0.0001,0.0072,0.0001,0.0,0.0,0.0035,0.0034,0.0044,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
vorgegeben,42,0.0015,0.007,0.0001,0.0001,0.0001,0.004,0.0,0.0,0.0104,0.0,0.0,0.0,0.0001,0.0004,0.0001,0.0018,0.0005,0.0002,0.0,0.0
methodischdidaktisch,42,0.0107,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
fähigkeit,42,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0153,0.0044,0.0001,0.0057,0.0001,0.0,0.0,0.0002,0.0,0.0
glück,41,0.0064,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0001,0.0,0.0213,0.0,0.0,0.0002,0.0,0.0
treffen,41,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
kerncurriculum,41,0.0,0.0,0.0001,0.0001,0.0001,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0035,0.0352,0.0,0.0,0.0002,0.0037,0.0
berücksichtigen,41,0.0,0.0,0.0022,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0001,0.0016,0.0001,0.0,0.0015,0.0002,0.0066,0.0
berücksichtigung,41,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0001,0.0,0.0001,0.0229,0.0,0.0002,0.0,0.0
verbindlich,41,0.0,0.0,0.0001,0.0001,0.0245,0.0,0.0,0.0043,0.0,0.0018,0.0,0.0,0.0001,0.0078,0.0001,0.0,0.0,0.0002,0.0,0.0
dimension,41,0.0043,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0129,0.0002,0.0,0.0
problemstellung,41,0.0,0.0,0.0095,0.0001,0.0001,0.0,0.0017,0.0022,0.0023,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0002,0.0125,0.0
ermöglichen,40,0.0,0.0,0.0001,0.0001,0.0001,0.0144,0.0,0.0018,0.0,0.0,0.0038,0.0,0.0001,0.0,0.0001,0.0,0.0055,0.0002,0.0,0.0
stellen,39,0.0,0.0134,0.0001,0.0001,0.0001,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0113,0.0
verwendung,39,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.034,0.0,0.0002,0.0,0.0
deutschland,39,0.0,0.0117,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0019,0.0134,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
medial,39,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0041,0.0117,0.0002,0.0,0.0
ritual,39,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0055,0.0001,0.0,0.0,0.0002,0.0,0.0206
gerecht,39,0.0005,0.0038,0.0001,0.0001,0.0288,0.008,0.0,0.0,0.0,0.0037,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
sachverhalte,38,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0181,0.0001
schuljahrgang,38,0.0,0.0,0.0001,0.0001,0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0077,0.0001,0.0,0.0,0.0002,0.0009,0.0063
art,38,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0001,0.0125,0.0079,0.0,0.0,0.0002,0.0,0.0
kind,38,0.0,0.0,0.0021,0.0001,0.0001,0.0141,0.0054,0.0,0.0,0.0,0.0,0.0031,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
kommunikation,38,0.0021,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0174,0.0002,0.0,0.0
menschenwürde,38,0.0004,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0017,0.0036,0.0,0.0,0.0,0.0001,0.0141,0.0001,0.0,0.0,0.0002,0.0,0.0
