term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
wahrnehmung,30,0.0,0.0,0.0001,0.0,0.0075,0.0109,0.0001,0.0001,0.0,0.0061,0.0,0.0,0.0,0.0,0.0
ökosystem,29,0.0005,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0086,0.0,0.0012,0.0,0.0
identifizieren,29,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0084,0.0,0.0005,0.0,0.0,0.0024
konfliktlösung,29,0.0022,0.0,0.0001,0.0,0.0,0.0001,0.004,0.0001,0.0,0.0099,0.0,0.0004,0.0,0.0,0.0
erhöht,29,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erkenntnisgewinnung,29,0.0,0.0,0.0204,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0007
sachverhalte,28,0.0,0.0002,0.0001,0.0,0.0203,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aufklärung,28,0.0,0.0,0.0001,0.0104,0.0,0.0001,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evolutiv,28,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0111,0.0,0.0,0.0,0.0044,0.0,0.0
behandlung,27,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0089,0.0,0.0,0.0003,0.0
jugendkriminalität,27,0.013,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bewegung,27,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0145,0.0,0.0035,0.0035,0.0,0.0,0.0,0.0
verhaltensweise,27,0.0,0.0,0.0091,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0092,0.0,0.0
nachhaltigkeit,27,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0006,0.0,0.0089,0.0,0.0,0.0,0.0
fitness,27,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0161,0.0,0.0
freiheit,27,0.0,0.0,0.0001,0.009,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0014,0.0
reichtum,26,0.0005,0.0112,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0023,0.0,0.0,0.0004,0.0
gen,25,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0133,0.0,0.0,0.0,0.0,0.0,0.0
abstammung,24,0.0,0.0,0.0163,0.0,0.0,0.0001,0.0001,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0
markt,24,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nachvollziehbar,24,0.0,0.0109,0.0001,0.0,0.0035,0.0001,0.0001,0.0001,0.0,0.002,0.0,0.0,0.0,0.0,0.0
aggression,23,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0115,0.0001,0.0,0.0,0.0003,0.0,0.0042,0.0,0.0
reproduktiv,23,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0137,0.0,0.0
ausgrenzung,23,0.0039,0.0,0.0001,0.0,0.0,0.0115,0.0001,0.0001,0.0,0.0026,0.0,0.0,0.0,0.0,0.0
auswertung,23,0.0,0.0,0.0001,0.0,0.006,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0093,0.0,0.0
diskriminierung,23,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0124,0.0,0.0,0.0,0.0,0.0
adaptiv,22,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0131,0.0,0.0
undod,22,0.0,0.0002,0.0001,0.0,0.0164,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
funktional,22,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0017,0.0,0.0,0.0113,0.0,0.0
stammbaum,21,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0125,0.0,0.0
kreuzzug,21,0.0089,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fachspezifisch,21,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0105,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.002
abhängigkeit,20,0.0,0.0,0.0001,0.0,0.0,0.0231,0.0001,0.0001,0.0,0.0,0.0,0.0009,0.0,0.0,0.0
