term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
einheit,51,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0603,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0017,0.0001,0.0,0.0,0.0
grundgesetz,50,0.0001,0.0001,0.0,0.0001,0.0001,0.0138,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0017,0.0,0.0,0.0001,0.0,0.0,0.0
entscheidung,50,0.0001,0.0001,0.0053,0.0001,0.01,0.0035,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0111,0.0028,0.0,0.0001,0.0,0.0,0.0007
selbstverständnis,49,0.0001,0.0001,0.0,0.0001,0.0001,0.0006,0.0001,0.0,0.0023,0.0008,0.0164,0.0,0.0001,0.0061,0.0,0.0,0.0001,0.0,0.0,0.0
nehmen,49,0.0256,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0064,0.019,0.0,0.0001,0.0,0.0,0.0
regel,49,0.0001,0.0099,0.0,0.0001,0.0001,0.0021,0.0001,0.0171,0.0,0.0,0.0,0.0,0.0001,0.0038,0.0,0.0,0.0001,0.0,0.0,0.0012
erschließen,48,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0001,0.0303,0.0,0.0,0.0001,0.0,0.0016,0.0
grundrecht,47,0.0001,0.0001,0.0,0.0001,0.0001,0.007,0.0001,0.0,0.0134,0.0,0.0,0.0,0.0001,0.0,0.0,0.0019,0.0001,0.0,0.0,0.0015
setzen,47,0.0001,0.0056,0.0,0.0001,0.0214,0.0026,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0056,0.0001,0.0001,0.0001,0.0,0.0,0.0043
jahrhundert,47,0.0001,0.0133,0.0,0.0001,0.0001,0.0,0.0096,0.0,0.0023,0.0,0.0008,0.0,0.0001,0.0,0.0,0.0121,0.0001,0.0,0.0,0.0
bürgertum,46,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0404,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
wesen,46,0.0001,0.0001,0.0056,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0008,0.0001,0.0,0.0,0.0,0.0267,0.0,0.0,0.0028
willen,46,0.0001,0.0001,0.0063,0.0001,0.0001,0.0,0.0001,0.0078,0.0,0.0032,0.0,0.0,0.0174,0.0,0.0,0.0,0.0047,0.0,0.0,0.0
leitperspektive,45,0.0001,0.0001,0.0031,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0009,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0264,0.0
moralphilosophie,45,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0035,0.0,0.0,0.0189,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
wirtschaft,45,0.0001,0.0001,0.0,0.0001,0.0337,0.0,0.0001,0.0,0.0,0.0,0.0015,0.0,0.0013,0.0,0.0,0.0149,0.0001,0.0,0.0,0.0
relevant,44,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0015,0.0,0.0001,0.0055,0.0,0.0,0.0001,0.001,0.0,0.008
gruppe,44,0.0302,0.0001,0.0,0.0001,0.0001,0.0032,0.0001,0.0072,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0006
situation,44,0.0045,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0264,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0015
staatlich,43,0.0001,0.0001,0.0,0.0001,0.0001,0.0061,0.0283,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
diskussion,43,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0185,0.0,0.0035,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.002
bewusst,42,0.0001,0.0001,0.0036,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0035,0.0116,0.0021,0.0025,0.0035
