term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
darwin,31,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0073,0.0001,0.0,0.0001,0.0188,0.0001,0.0006,0.0002
entwickeln,30,0.0145,0.0001,0.0001,0.0002,0.0001,0.002,0.0093,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
lebensräumen,29,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0092,0.0001,0.0001,0.0001,0.0006,0.0002
aufbau,29,0.0088,0.0001,0.0016,0.0002,0.0001,0.0018,0.0001,0.0,0.0001,0.0026,0.0001,0.0001,0.001,0.0229,0.0002
ausgewählter,29,0.0097,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.005,0.0003,0.0016,0.0001,0.0001,0.0001,0.0006,0.0002
bne,29,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0062,0.0,0.0001,0.0001,0.0193,0.0006,0.0002
morphologisch,28,0.0001,0.004,0.0001,0.0002,0.0001,0.0032,0.0001,0.0,0.0044,0.0009,0.0001,0.0001,0.0057,0.0006,0.0002
iva,28,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0112,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
methode,27,0.0001,0.0001,0.0001,0.0002,0.0019,0.0,0.0001,0.0,0.0247,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
modell,27,0.0001,0.0001,0.0001,0.0002,0.0001,0.0034,0.0001,0.0,0.0112,0.0,0.0063,0.0001,0.0001,0.0006,0.0002
reproduktion,27,0.0001,0.0001,0.0001,0.0002,0.0001,0.0103,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
sinnesorgane,27,0.0001,0.001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0081,0.0001,0.0001,0.0001,0.0006,0.0002
funktional,27,0.0001,0.0001,0.0001,0.0002,0.0001,0.0094,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
gruppe,27,0.0001,0.0245,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
prinzip,26,0.0001,0.0001,0.0001,0.0002,0.0001,0.0029,0.0001,0.0,0.0001,0.0024,0.0001,0.0001,0.0089,0.0009,0.0002
typisch,26,0.0001,0.0241,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0002,0.0001,0.0001,0.0001,0.0006,0.0002
jahrgang,26,0.0001,0.0001,0.021,0.0002,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
nutzen,25,0.0001,0.0038,0.0001,0.0002,0.0001,0.0,0.0119,0.0,0.0001,0.0032,0.0001,0.0001,0.0001,0.0006,0.0002
physiologisch,25,0.0001,0.0001,0.0014,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0135,0.0001,0.0094,0.0006,0.0002
fachlehrplan,25,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0434,0.0001,0.0006,0.0002
welt,25,0.0001,0.0001,0.0001,0.0002,0.0052,0.0,0.0001,0.0,0.0001,0.0037,0.0001,0.0171,0.0001,0.0006,0.0002
zellulär,25,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0166,0.0036,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
inhaltlich,25,0.0001,0.0001,0.0017,0.0324,0.0001,0.0,0.0001,0.0008,0.0001,0.0024,0.0001,0.0001,0.0015,0.0006,0.0002
mitwirken,24,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.042,0.0001,0.0006,0.0002
nationalsozialismus,24,0.0001,0.0001,0.0001,0.007,0.0001,0.0,0.0001,0.0046,0.0006,0.0,0.0001,0.0001,0.0001,0.0006,0.0213
digital,24,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0037,0.0013,0.0201,0.0001,0.0006,0.0002
vertreter,24,0.0001,0.0166,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0022,0.0001,0.0001,0.0001,0.0006,0.0002
leitung,23,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0389,0.0001,0.0006,0.0002
organe,23,0.0001,0.0001,0.0106,0.0002,0.0001,0.0025,0.0001,0.0016,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
phänomen,23,0.0001,0.0001,0.0001,0.0002,0.0001,0.0033,0.0124,0.0,0.0017,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
gesellschaft,23,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0081,0.0,0.0002,0.0,0.0001,0.0001,0.0001,0.0006,0.041
identifizieren,23,0.0001,0.0189,0.0001,0.0002,0.0001,0.0008,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
prozessbezogen,22,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0152,0.0,0.0001,0.0,0.0001,0.0001,0.0083,0.0006,0.0002
sozial,22,0.0001,0.0011,0.0001,0.0002,0.0001,0.0,0.0067,0.0,0.0172,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
basis,21,0.0019,0.0001,0.0001,0.0002,0.006,0.0,0.0001,0.0,0.0142,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
abhängigkeit,20,0.0001,0.0001,0.0001,0.0002,0.0001,0.006,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0367,0.0002
anregung,20,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0023,0.0,0.0001,0.0,0.0001,0.0001,0.0144,0.0006,0.0002
artbegriff,20,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.003,0.0108,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
energetisch,20,0.0001,0.0001,0.0001,0.0002,0.0001,0.0053,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0334,0.0002
fachgruppe,20,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0334,0.0001,0.0006,0.0002
hinsichtlich,20,0.0001,0.0132,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0053,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
potenz,19,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0231,0.0001,0.0001,0.0006,0.0002
weltkrieg,19,0.0001,0.0001,0.0001,0.0002,0.0345,0.0,0.0001,0.0002,0.0001,0.0,0.0001,0.0002,0.0001,0.0006,0.0002
natur,18,0.0178,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
beruhen,18,0.0001,0.0001,0.0146,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
darstellung,18,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0157,0.0,0.0015,0.0001,0.0001,0.0006,0.0002
wert,18,0.0001,0.0001,0.0001,0.0002,0.0001,0.0009,0.014,0.0005,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0047
komplex,18,0.0106,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0041,0.0,0.0025,0.0001,0.0001,0.0006,0.0002
ablauf,17,0.0037,0.0001,0.0001,0.0002,0.0001,0.001,0.0001,0.0,0.0045,0.0005,0.0001,0.0001,0.0029,0.0007,0.0002
entstehen,17,0.0001,0.0001,0.0099,0.0002,0.0001,0.0,0.0001,0.0003,0.0001,0.0013,0.0001,0.0001,0.0001,0.0006,0.0002
fachlich,17,0.0067,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0308
wandel,17,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0062,0.0,0.0117,0.0,0.0001,0.0001,0.0002,0.0006,0.0002
kompetenzschwerpunkt,17,0.0011,0.0001,0.0001,0.0002,0.0169,0.0001,0.0001,0.0029,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
kurshalbjahr,17,0.0001,0.0001,0.0001,0.0481,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0044
magdeburg,16,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0006,0.0001,0.0,0.0001,0.0263,0.0001,0.0006,0.0002
maßnahme,16,0.0069,0.0054,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0201,0.0002
atmung,16,0.0001,0.0126,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0011,0.0001,0.0001,0.0001,0.0006,0.0002
nationalsozialistisch,16,0.0003,0.0001,0.0001,0.0189,0.0001,0.0,0.0001,0.0,0.0093,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
betreffen,16,0.0001,0.0001,0.0021,0.0303,0.0001,0.0011,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
einzeln,16,0.0001,0.0001,0.0029,0.0002,0.0151,0.0,0.0019,0.0,0.0039,0.0001,0.0001,0.0001,0.0001,0.0006,0.0002
tabelle,16,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.011,0.0,0.0001,0.0,0.0001,0.0011,0.0036,0.0006,0.0002
wissen,16,0.0103,0.0001,0.0001,0.0002,0.0005,0.0,0.0017,0.0,0.0001,0.0007,0.0001,0.0016,0.0001,0.0006,0.0002
ideologie,16,0.0001,0.0001,0.0001,0.0002,0.0292,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
chloroplast,15,0.0001,0.0001,0.0001,0.0002,0.0001,0.0047,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0164,0.0002
deuten,15,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0198,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
deutsch,15,0.0001,0.0001,0.0001,0.0002,0.0279,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
revolution,15,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0128,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
selbstständig,15,0.0018,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0129,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
wirkungsspektrum,15,0.0001,0.0001,0.0001,0.0002,0.0001,0.0047,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0164,0.0002
ziel,15,0.0041,0.0001,0.0001,0.0313,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
kriechtier,15,0.0001,0.0173,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0002,0.0001,0.0001,0.0001,0.0006,0.0002
lehrplan,14,0.0147,0.001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
experiment,14,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0154,0.0001,0.0011,0.0006,0.0002
theorie,14,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0049,0.0001,0.0,0.0001,0.0001,0.0001,0.0088,0.0002
feinbau,14,0.0001,0.0001,0.0001,0.0002,0.0001,0.0047,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0164,0.0002
vorliegend,14,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0435
wirbellose,14,0.0001,0.0126,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
homolog,14,0.0001,0.013,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
multidimensional,13,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0022,0.0,0.013,0.0001,0.0001,0.0006,0.0002
rahmenlehrplan,13,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0397
rolle,13,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0015,0.0001,0.0001,0.0001,0.0006,0.0232
anforderungsniveau,12,0.0021,0.0001,0.0001,0.0002,0.0001,0.0,0.0117,0.0,0.0001,0.0,0.0001,0.0001,0.0007,0.0006,0.0002
