,text_excerpt,state,school type,grade,year,subject,doc_id
34018,"des Antisemitismus Werteorientierung Lernbereich : Der Mensch und seine Verantwortung für den Mitmenschen Ustd. Kennen der Entstehung von Vorurteilen und von Möglichkeiten zum Abbau von Vorurteilen Kein Mensch ist ohne Vorurteil. Jeder Mensch muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und Vorurteil Urteil als subjektive, aber begründete Entscheidung Vorurteile als Ergebnis begrenzter Wahrnehmung",Sachsen,Oberschule,,2019,"Ethik, Philo",34018
34019,"Perspektivenabhängigkeit von Wissen betont. n Empathie und interkulturelles Lernen zielen auf Verständnis und Offenheit, Kennenlernen von Hintergründen und Selbstdefinitionen von und gegenüber Menschen in und aus anderen Regionen und helfen, Vorurteile abzubauen. n Werteorientierung geht mit komplexen geographischen Fragestellungen und kontroversen Themen einher und zielt auf eine raumbezogene und werteorientierte Handlungs- und Gestaltungskompetenz als unterrichtsleitende Zielperspektive. n Wissenschaftsorientierung garantiert die sachliche",Rheinland-Pfalz,,Sek1,2021,Sozialkunde,34019
34020,", BNE Demokratiefähigkeit BTV Konfliktbewältigung und Interessenausgleich MB Kommunikation und Kooperation PG Mobbing und Gewalt Soziale Wahrnehmung und Gruppe Die Schülerinnen und Schüler befassen sich mit sozialen Wahrnehmungsprozessen, Einstellungen und Vorurteilen. Sie erkennen, wie menschliches Erleben und Verhalten durch Situation und Interaktion beeinflusst wird und setzen sich auf der Basis ihrer eigenen Erfahrungen damit auseinander. Die Schülerinnen und Schüler können soziale",BaWü,,Sek2,2016,"Psychologie, Gesundheit",34020
34021,"Schüler können soziale Wahrnehmungsprozesse, auch anhand von Beispielen aus ihrer Lebenswelt, veranschaulichen zum Beispiel Halo-Effekt, Primacy-Effekt, Rosenthal-Effekt Analyse- und Methodenkompetenz , Kognition, Emotion und Motivation , sich mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung auseinandersetzen zum Beispiel Theorie der kognitiven Dissonanz nach L. Festinger Orientierungs- und Handlungskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees Merkmale von Gruppen beschreiben und grundlegende gruppendynamische",BaWü,,Sek2,2016,"Psychologie, Gesundheit",34021
34022,"Kognition, Emotion und Motivation , sich mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung auseinandersetzen zum Beispiel Theorie der kognitiven Dissonanz nach L. Festinger Orientierungs- und Handlungskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees Merkmale von Gruppen beschreiben und grundlegende gruppendynamische Prozesse erläutern zum Beispiel Rollen, Phasen der Gruppenbildung BTV Minderheitenschutz darlegen, wie andere auf menschliches Verhalten einwirken können zum Beispiel Konformität",BaWü,,Sek2,2016,"Psychologie, Gesundheit",34022
34023,"den Begriff psychische Störung anhand typischer Kriterien beschreiben und das Spannungsfeld von Norm und Abweichung diskutieren zum Beispiel Gefahr von Stigmatisierung Analyse- und Methodenkompetenz Reflexions- und Urteilskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees; Personale und gesellschaftliche Vielfalt; Toleranz, Solidarität, Inklusion, Antidiskriminierung Leitsymptome von Störungsbildern zum Beispiel Angststörungen, Essstörungen, affektive Störungen, Entwicklungsstörungen anhand des ICD International Statistical Classification of Diseases and Related",BaWü,,Sek2,2016,"Psychologie, Gesundheit",34023
34024,"für den Umgang mit der komplexen globalisierten Gegenwart. Orientierungskompetenz beinhaltet im Detail: produktiven/pragmatischen/kenntnisreichen Umgang mit Begriffen, Daten, Ordnungskategorien der Geschichte, Alteritätserfahrung mittels Analyse historischer Sachverhalte, Dekonstruktion, Hinterfragen von Geschichtsdarstellungen, Deutungen, Vorurteilen, Mythen und Legenden, Kenntnis von Geschichtstheorien. Methodenkompetenz Da das Fach Geschichte ausschließlich über Medien vermittelt werden kann, kommt der Methodenkompetenz ein hoher Stellenwert zu, die auch eine historische Gattungskompetenz einschließt.",Saarland,Gym,Sek2,2023,Geschichte,34024
34025,"Mobbing Unzufriedenheit Aggressionsverschiebung Orientierungsbedürfnis Schutzfunktion Anteil der Medien an der Entstehung von Vorurteilen Begriffsanalyse: Urteil und Vorurteil LB Kl. , LB Kl. , LB Übertragen auf Lösungsansätze zum Abbau von Vorurteilen vom Vorurteil zum Urteil: das Fremde kennen lernen, Ängste überwinden und abbauen, den anderen verstehen lernen, das Neue in das Vertraute einbeziehen, Wissen Karikaturen, Comics und Geschichten Empathie und Perspektivwechsel",Sachsen,Gym,,2019,"Ethik, Philo",34025
34026,"Schüler ihre Alltags- und Lebenswelt aus einer physikalischen Perspektive heraus betrachten, lernen sie, entsprechende Problemfelder zu erkennen, Lösungsansätze zu finden und zu diskutieren und sich kritisch mit bestehenden Meinungen und Vorurteilen auseinander zu setzen. Sie lernen, sich eine eigene Meinung auf der Grundlage gesicherter naturwissenschaftlicher Erkenntnisse zu bilden. Im Unterricht soll zunehmend auf die Verwendung von Fachbegriffen und die Nutzung mathematischer",Bremen,,Sek1,2010,Bio,34026
34027,"Kunst ... setzen sich mit geschlechtsspezifischen Rollenerwartungen und Konventionen im Bereich von Liebe und Sexualität auseinander. vermeintlich typisch männliche bzw. typisch weibliche Eigenschaften und Vorstellungen, unterschiedliche Kommunikationsformen, Rollenverhalten der Geschlechter, Vorurteile gegenüber Homosexualität Sexualität und Rollenklischees in den Medien diskutieren Möglichkeiten und Grenzen sexueller Selbstbestimmung in Vergangenheit und Gegenwart. Konventionen im historischen Vergleich Liebe und Sexualität im Spannungsfeld von Partnerwahl und",Niedersachsen,Realschule,,2018,"Ethik, Philo",34027
