term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
wissenschaftstheorie,22,0.0002,0.0011,0.0016,0.0001,0.0189,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0045,0.0002,0.0004,0.0009,0.0001,0.0029,0.0103,0.0002
erkenntnis,21,0.0001,0.0011,0.0016,0.0001,0.0063,0.0023,0.0017,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0341,0.025,0.0068,0.0053,0.0094,0.0002
rahmenthema,21,0.0001,0.0011,0.0016,0.0001,0.0001,0.0026,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0123,0.0009,0.0001,0.0001,0.0164,0.0338
vorstellung,21,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0049,0.0008,0.0023,0.0283,0.0006,0.0122,0.0002,0.0004,0.0009,0.0001,0.0114,0.0003,0.0002
denken,20,0.0001,0.0011,0.0017,0.0001,0.0057,0.0023,0.0031,0.0001,0.0008,0.0024,0.0001,0.0006,0.0005,0.0002,0.0007,0.0009,0.0209,0.0058,0.0003,0.0002
gerechtigkeit,20,0.0001,0.0011,0.0016,0.0001,0.003,0.0025,0.0001,0.0092,0.0008,0.0024,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0043,0.0248,0.0002
konzept,20,0.0127,0.0011,0.0016,0.0022,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0058,0.0004,0.0009,0.0156,0.0001,0.0043,0.0068
norm,20,0.0147,0.0011,0.0016,0.0001,0.0001,0.003,0.0001,0.0038,0.0008,0.0023,0.0001,0.0006,0.0005,0.0002,0.0004,0.001,0.0012,0.006,0.0003,0.0037
theorie,20,0.0001,0.0011,0.0016,0.0002,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0142,0.0006,0.0004,0.0002,0.0004,0.0009,0.0421,0.0002,0.0044,0.0002
entwickeln,19,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0049,0.0043,0.0008,0.0024,0.0001,0.0006,0.0008,0.0002,0.0004,0.0009,0.0001,0.0155,0.0003,0.0048
eth,19,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0565,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0075,0.0003,0.0002
sinn,19,0.0001,0.0011,0.0016,0.0149,0.0001,0.0023,0.0001,0.0029,0.0008,0.0023,0.0001,0.0006,0.0004,0.0123,0.0004,0.0009,0.0073,0.0023,0.0012,0.0002
wissenschaftlich,19,0.0001,0.0011,0.0016,0.0001,0.0101,0.0023,0.0001,0.0031,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0067,0.0988,0.0001,0.0038,0.0003,0.0002
