term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
wasser,10,0.0001,0.0005,0.0003,0.0001,0.002,0.0003,0.0001,0.0007,0.0255,0.0073,0.0005,0.0003
überproduktion,10,0.0001,0.0006,0.0002,0.0001,0.002,0.0251,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
gemeinschaft,9,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0348,0.0003
kosten,9,0.0002,0.0005,0.0002,0.0021,0.0176,0.0003,0.0034,0.0007,0.0011,0.0001,0.0005,0.0003
kriterium,9,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0018,0.0007,0.0011,0.0012,0.0196,0.0024
niveau,9,0.0001,0.0005,0.0163,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
orientierung,9,0.0001,0.0005,0.0002,0.0001,0.002,0.0061,0.0003,0.0007,0.0011,0.0001,0.0005,0.0139
religiös,9,0.0001,0.0005,0.0002,0.0001,0.002,0.0053,0.0018,0.0007,0.0011,0.0001,0.0196,0.0003
vererbbarkeit,9,0.0001,0.0005,0.0002,0.0001,0.002,0.0227,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
arbeit,8,0.0013,0.0005,0.0002,0.0001,0.0168,0.0003,0.0042,0.0007,0.0011,0.0001,0.0005,0.0003
dimension,8,0.0016,0.0124,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0052
evolution,8,0.0001,0.0202,0.0003,0.0001,0.002,0.0003,0.0001,0.016,0.0011,0.0001,0.0005,0.0003
gründung,8,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0163
herrschaft,8,0.0002,0.0005,0.0002,0.0001,0.002,0.0029,0.0001,0.0007,0.0011,0.0001,0.0005,0.014
konkurrenzvermeidung,8,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0174,0.0063,0.0005,0.0003
lokal,8,0.003,0.0005,0.0002,0.0001,0.002,0.0005,0.0001,0.0163,0.0011,0.0001,0.0005,0.0003
rahmenbedingung,8,0.009,0.0005,0.0002,0.0001,0.0176,0.0003,0.0001,0.0115,0.0011,0.0001,0.0005,0.0003
solidarität,8,0.0001,0.0124,0.0002,0.0001,0.002,0.0003,0.0018,0.0011,0.0011,0.0001,0.0005,0.0063
toleranzbereich,8,0.0001,0.0005,0.008,0.0001,0.0024,0.0003,0.0001,0.0007,0.0011,0.0037,0.0005,0.0003
umwelt,8,0.0001,0.0005,0.0088,0.0001,0.002,0.0003,0.0001,0.0058,0.0174,0.0001,0.0005,0.0003
vergleich,8,0.0001,0.0045,0.0002,0.0001,0.0019,0.0003,0.0148,0.0007,0.0011,0.0001,0.0005,0.0003
zeigerart,8,0.0001,0.0005,0.0002,0.0001,0.0022,0.0003,0.0001,0.0007,0.0011,0.0083,0.0005,0.0003
geeignet,7,0.0001,0.0045,0.0054,0.0001,0.002,0.0003,0.0001,0.006,0.0182,0.0001,0.0005,0.0003
koevolution,7,0.0001,0.0282,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
parlamentarisch,7,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0148
pflanze,7,0.0001,0.0005,0.0002,0.0001,0.0024,0.0003,0.0001,0.0007,0.0337,0.0032,0.0005,0.0003
thematisieren,7,0.0001,0.0005,0.0037,0.0057,0.002,0.0003,0.0001,0.0211,0.0011,0.0001,0.0005,0.0003
verbraucher,7,0.0001,0.0005,0.0002,0.0123,0.002,0.0003,0.0115,0.0007,0.0011,0.0001,0.0005,0.0003
veränderung,7,0.0001,0.0082,0.0019,0.0001,0.0324,0.003,0.001,0.0007,0.0011,0.0001,0.0005,0.0003
wirkung,7,0.0007,0.0045,0.0037,0.0001,0.0168,0.0003,0.0001,0.0109,0.0011,0.0001,0.0005,0.0003
freihandel,6,0.0154,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0008
gesetz,6,0.0001,0.0005,0.0003,0.0001,0.002,0.0003,0.0139,0.0007,0.0011,0.0002,0.0005,0.0004
individuell,6,0.0001,0.0153,0.0002,0.0001,0.002,0.0064,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
leer,6,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0222,0.0182,0.0001,0.0005,0.0003
protektionismus,6,0.0154,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0009
ressource,6,0.0001,0.0124,0.0002,0.0001,0.002,0.0027,0.0001,0.0009,0.0011,0.0022,0.0005,0.0003
standort,6,0.0001,0.0168,0.0002,0.0001,0.002,0.0003,0.0003,0.0008,0.0011,0.0001,0.0005,0.0039
