term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
methode,12,0.0004,0.0018,0.0008,0.0002,0.0024,0.0002,0.0001,0.0003,0.0082,0.0308,0.0006,0.0153,0.013,0.0184,0.0003
projekt,12,0.0004,0.0018,0.0002,0.0002,0.0024,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0037,0.0007,0.0004,0.0003
situation,12,0.0003,0.0017,0.0002,0.0062,0.0228,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0037,0.0007,0.0372,0.0003
urteil,12,0.0076,0.0018,0.0002,0.0083,0.0024,0.0002,0.0001,0.0003,0.0121,0.0014,0.018,0.0013,0.0008,0.0363,0.0003
begründen,11,0.0095,0.0018,0.0002,0.0003,0.0024,0.0067,0.0001,0.0003,0.0009,0.0014,0.0006,0.0003,0.0041,0.0258,0.0003
berücksichtigen,11,0.0004,0.0018,0.0002,0.0002,0.0023,0.0305,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.008,0.0003
demokratisch,11,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0198,0.0003,0.0005,0.0013,0.0132,0.0006,0.0007,0.0004,0.0003
differenz,11,0.0003,0.0018,0.0039,0.0002,0.0023,0.0305,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
fast,11,0.0003,0.0018,0.0002,0.0002,0.0024,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
fördern,11,0.0297,0.0017,0.0002,0.0043,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0003,0.013,0.0004,0.0003
führen,11,0.0004,0.0746,0.0002,0.0065,0.0024,0.0002,0.0002,0.0003,0.0004,0.0033,0.0006,0.0002,0.0007,0.0116,0.0003
gegenstand,11,0.0004,0.0017,0.0002,0.0002,0.0023,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
gestaltung,11,0.0003,0.0018,0.0002,0.0002,0.0024,0.0341,0.0001,0.0003,0.0005,0.0014,0.0006,0.0002,0.0008,0.0088,0.0003
grenzüberschreitende,11,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
interkulturell,11,0.0267,0.0018,0.0002,0.0003,0.0023,0.0002,0.0077,0.0003,0.0004,0.0014,0.0006,0.0003,0.0007,0.0004,0.0003
multilateral,11,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
unterstützen,11,0.0004,0.0018,0.0002,0.0002,0.0024,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
vernetzt,11,0.0003,0.0018,0.0003,0.0002,0.0023,0.0002,0.0001,0.0398,0.0004,0.0014,0.0006,0.0019,0.0007,0.0004,0.0003
vornehmen,11,0.0004,0.0018,0.0002,0.0003,0.0024,0.0002,0.0001,0.0003,0.0004,0.0137,0.0006,0.0127,0.0007,0.0167,0.0003
zugang,11,0.0003,0.0018,0.0003,0.0002,0.0024,0.0002,0.0001,0.0376,0.0004,0.0014,0.0006,0.0073,0.0007,0.0004,0.0003
berücksichtigung,10,0.0004,0.0018,0.0002,0.0002,0.0024,0.0338,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
bezug,10,0.0004,0.0018,0.0002,0.0003,0.0024,0.0251,0.0001,0.0003,0.0004,0.0014,0.0006,0.0052,0.0007,0.0004,0.0003
gemeinschaftsschule,10,0.0475,0.0018,0.0002,0.0003,0.0024,0.0003,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
gesellschaftlich,10,0.0302,0.0018,0.0015,0.0057,0.0023,0.0041,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0091,0.0003
gezielt,10,0.0003,0.0321,0.0002,0.0227,0.0023,0.0035,0.0001,0.0003,0.0004,0.0015,0.0006,0.0002,0.0007,0.0004,0.0003
handlungsalternative,10,0.0003,0.0018,0.0002,0.0002,0.0023,0.0338,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
politik,10,0.0003,0.0019,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0129,0.0073,0.0007,0.0042,0.0407
regional,10,0.0004,0.0018,0.0239,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0002,0.0007,0.0004,0.0003
thema,10,0.0004,0.0017,0.0002,0.0003,0.0023,0.0002,0.0001,0.0003,0.0011,0.0014,0.0008,0.008,0.0457,0.0004,0.0003
tolerieren,10,0.0003,0.0018,0.0003,0.0002,0.0023,0.0002,0.003,0.0376,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
wechselwirkung,10,0.0003,0.0017,0.0202,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0031,0.0007,0.0004,0.0003
wirtschaftlich,10,0.0385,0.0018,0.0039,0.0002,0.0024,0.0003,0.0001,0.0003,0.0004,0.0015,0.0006,0.0002,0.0008,0.0093,0.0003
überprüfen,10,0.0003,0.0017,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0158,0.0014,0.0006,0.0132,0.0007,0.0004,0.0004
befähig,9,0.0003,0.0017,0.0003,0.0002,0.0023,0.0002,0.0001,0.0376,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
geschlechtsspezifisch,9,0.0004,0.0018,0.0002,0.0002,0.0023,0.0305,0.0001,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
gesellschaftswissenschaftlich,9,0.0004,0.0018,0.0003,0.0002,0.0024,0.0002,0.0001,0.0376,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
grundgesetz,9,0.0003,0.0018,0.0003,0.0002,0.0023,0.0002,0.0001,0.0376,0.0005,0.0014,0.0006,0.0002,0.0008,0.0004,0.0003
gruppenarbeit,9,0.0004,0.0018,0.0002,0.0002,0.0024,0.0305,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
idee,9,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0069,0.0003,0.0004,0.0014,0.0006,0.0041,0.0217,0.0004,0.0003
leiten,9,0.0004,0.0017,0.0003,0.0002,0.0023,0.0002,0.0001,0.0376,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
positionieren,9,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0005,0.0014,0.0171,0.0091,0.0249,0.0004,0.0003
sachverhalt,9,0.0288,0.002,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0094,0.0003
standpunkt,9,0.0003,0.0071,0.0002,0.0002,0.0023,0.0148,0.0032,0.0003,0.0004,0.0014,0.0008,0.004,0.0007,0.0005,0.0003
verknüpfen,9,0.0095,0.0019,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
wahlbereich,9,0.0003,0.0017,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0005,0.0014,0.0439,0.0092,0.0008,0.0004,0.0003
zugehörigkeit,9,0.0003,0.0018,0.0003,0.0002,0.0024,0.0002,0.0001,0.0376,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
überzeugung,9,0.0003,0.0018,0.0003,0.0002,0.0024,0.0002,0.0001,0.0376,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
anregen,8,0.0004,0.0017,0.0003,0.0002,0.0023,0.0002,0.0001,0.0351,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
aspekt,8,0.0003,0.0017,0.0202,0.0002,0.0024,0.0002,0.0001,0.0003,0.0005,0.0014,0.0007,0.0002,0.0007,0.0004,0.0003
empfehlung,8,0.0004,0.0018,0.0202,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0002,0.0007,0.0004,0.0003
finden,8,0.0003,0.0017,0.0002,0.0002,0.0025,0.0002,0.0001,0.0003,0.0005,0.0014,0.0205,0.0104,0.0007,0.0004,0.0003
lage,8,0.0003,0.0017,0.0002,0.0062,0.0024,0.0002,0.0001,0.0003,0.0005,0.0014,0.0196,0.0027,0.0007,0.0094,0.0003
nachhaltig,8,0.0003,0.0018,0.0002,0.0043,0.0029,0.0002,0.0001,0.0003,0.0004,0.0307,0.0006,0.0002,0.0398,0.0004,0.0003
orientierungsrahme,8,0.0004,0.0017,0.0202,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0002,0.0007,0.0004,0.0003
schwerpunkt,8,0.0003,0.0018,0.0202,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0002,0.0007,0.0004,0.0003
sichtweise,8,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0173,0.0007,0.008,0.0003
zusätzlich,8,0.0004,0.0018,0.0202,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0002,0.0007,0.0004,0.0003
diskurs,7,0.0004,0.0018,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0041,0.0289
europäisch,7,0.0003,0.0018,0.0002,0.0005,0.0029,0.0002,0.0001,0.0003,0.0004,0.0014,0.0008,0.0003,0.0509,0.0005,0.0003
genannt,7,0.0004,0.0018,0.0002,0.0227,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
