file,state,school type,grade,year,subject,word_count
"LP Saarland Gesellschaftswissenschaften Gemeinschaftsschule 9,10 2022.pdf",Saarland,Gemeinschaftsschule,"9,10",2022.0,Sozialkunde,6571
LP Thüringen Wirtschaft Recht Gym 2012.pdf,Thüringen,Gym,,2012.0,Sozialkunde,7206
KMK Sozialkunde-Politik EPA 2005.pdf,KMK,,,2005.0,Sozialkunde,37193
LP Bayern Politik und Gesellschaft Gym 13 GK 2023.pdf,Bayern,Gym,13,2023.0,Sozialkunde,1059
"LP Saarland Sozialkunde Gemeinschaftsschule 9,10 2015.pdf",Saarland,Gemeinschaftsschule,"9,10",2015.0,Sozialkunde,4615
LP RheinPfalz GesellschaftslehreSek1 2022.pdf,Rheinland-Pfalz,,Sek1,2022.0,Sozialkunde,22688
LP Bayern Politik und Gesellschaft Gym Fachprofil.pdf,Bayern,Gym,,,Sozialkunde,3418
LP Saarland Politik Gym Sek2 LK 2019.pdf,Saarland,Gym,Sek2,2019.0,Sozialkunde,8369
LP Bayern Politik und Gesellschaft Gym 9 2023.pdf,Bayern,Gym,9,2023.0,Sozialkunde,938
LP Bayern Politik und Gesellschaft Gym 8 2023.pdf,Bayern,Gym,8,2023.0,Sozialkunde,2480
LP NRW Gesell-Wirtschaft-Poli Gesamtschule 2020.pdf,Nordrhein-Westfalen,Gesamtschule,,2020.0,Sozialkunde,17451
LP Sachsen-Anhalt Wirtschaftslehre Gym 2017.pdf,Sachsen-Anhalt,Gym,,2017.0,Sozialkunde,5032
LP Bayern Politik und Gesellschaft Gym 13 LK 2023.pdf,Bayern,Gym,13,2023.0,Sozialkunde,1696
LP Bayern Wirtschaft und Recht Gym 11 Wirtsch 2023.pdf,Bayern,Gym,11,2023.0,Sozialkunde,1316
LP Saarland Politik Gym Sek2 GK 2019.pdf,Saarland,Gym,Sek2,2019.0,Sozialkunde,6392
LP Thüringen Sozialkunde Regelschule 2013.pdf,Thüringen,Regelschule,,2013.0,Sozialkunde,4811
LP Bremen Wirtschaftslehre Gym Sek2 2008.pdf,Bremen,Gym,Sek2,2008.0,Sozialkunde,3388
LP Bayern Politik und Gesellschaft Realschule 10 2023.pdf,Bayern,Realschule,10,2023.0,Sozialkunde,3955
LP Hessen Kerncurriculum Politik und Wirtschaft Gym Sek1.pdf,Hessen,Gym,Sek1,,Sozialkunde,10484
LP Saarland Sozialkunde Gym Sek2 Einführung 2021.pdf,Saarland,Gym,Sek2,2021.0,Sozialkunde,3178
LP BaWü Gemeinschaftskunde Sek1 2016.pdf,Baden-Württemberg,,Sek1,2016.0,Sozialkunde,18448
LP Berlin BB Politische Bildung 7-10.pdf,Berlin,,7-10,,Sozialkunde,7080
LP Hamburg Wirtschaft Gym Sek1 2024.pdf,Hamburg,Gym,Sek1,2024.0,Sozialkunde,4653
"LP Berlin BB Gesellschaftswissenschaften 5,6.pdf",Berlin,,"5,6",,Sozialkunde,10104
LP Bremen Politik Gym Sek2 2008.pdf,Bremen,Gym,Sek2,2008.0,Sozialkunde,2943
LP Niedersachsen Politik-Wirtschaft Gym Sek1 2015.pdf,Niedersachsen,Gym,Sek1,2015.0,Sozialkunde,6578
LP Bayern Wirtschaft und Recht Gym 12 LK 2023.pdf,Bayern,Gym,12,2023.0,Sozialkunde,1146
LP Sachsen-Anhalt Wirtschaft Sekundarschule 2019.pdf,Sachsen-Anhalt,Sekundarschule,,2019.0,Sozialkunde,5241
"LP Saarland Gesellschaftswissenschaften Gemeinschaftsschule 5,6 2014.pdf",Saarland,Gemeinschaftsschule,"5,6",2014.0,Sozialkunde,4786
Lp Hessen Leitfaden Politik und Wirtschaft Sek1.pdf,Hessen,,Sek1,,Sozialkunde,22542
LP Hamburg Politik Gesellschaft Wirtschaft Gym Sek1 2024.pdf,Hamburg,Gym,Sek1,2024.0,Sozialkunde,6318
LP Sachsen-Anhalt Sozialkunde Sekundarschule 2019.pdf,Sachsen-Anhalt,Sekundarschule,,2019.0,Sozialkunde,4319
LP Sachsen Gemeinschaftskunde Recht Wirtschaft Gym 2019.pdf,Sachsen,Gym,,2019.0,Sozialkunde,10527
LP Bayern Wirtschaft und Recht Gym 8 2023.pdf,Bayern,Gym,8,2023.0,Sozialkunde,952
LP Bayern Wirtschaft und Recht Gym 9 2023.pdf,Bayern,Gym,9,2023.0,Sozialkunde,476
LP Hamburg Gesellschaftswissenschaften Stadtteilschule 5-11 2024.pdf,Hamburg,Stadtteilschule,5-11,2024.0,Sozialkunde,10287
Lp MeckPomm Sozialkunde Gym Sek2 2019.pdf,Mecklenburg-Vorpommern,Gym,Sek2,2019.0,Sozialkunde,5314
LP Schleswig-Holstein Wirtschaft Politik Sekundarstufe 2016.pdf,Schleswig-Holstein,,Sekundarstufe,2016.0,Sozialkunde,14069
LP Bremen Politik Gym Sek1 2006.pdf,Bremen,Gym,Sek1,2006.0,Sozialkunde,4300
LP Bayern Wirtschaft und Recht Gym 10 Wirtsch 2023.pdf,Bayern,Gym,10,2023.0,Sozialkunde,958
LP Bayern Wirtschaft und Recht Realschule 2023.pdf,Bayern,Realschule,,2023.0,Sozialkunde,6973
LP Niedersachsen Politik-Wirtschaft Gym Sek2 2018.pdf,Niedersachsen,Gym,Sek2,2018.0,Sozialkunde,8738
LP Berlin BB Politikwissenschaft Gym Sek2.pdf,Berlin,Gym,Sek2,,Sozialkunde,9617
LP Hamburg Politik Gesellschaft Wirtschaft Stadtteilschule 5-11 2024.pdf,Hamburg,Stadtteilschule,5-11,2024.0,Sozialkunde,7788
