term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
kritisch,5,0.0003,0.0045,0.0004,0.0011,0.0171,0.0006,0.0004,0.0002,0.0017,0.002
leer,5,0.0003,0.0043,0.0425,0.0012,0.001,0.0006,0.0003,0.0002,0.0002,0.002
legitimität,5,0.0251,0.0043,0.0004,0.0012,0.001,0.0006,0.0003,0.0205,0.0002,0.002
machtergreifung,5,0.0003,0.0045,0.0004,0.0011,0.001,0.0145,0.0003,0.0002,0.0002,0.002
misshandlunge,5,0.0003,0.0043,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
psychisch,5,0.0003,0.0043,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
sexismus,5,0.0003,0.0043,0.0004,0.0012,0.01,0.0006,0.0003,0.0002,0.0002,0.0285
system,5,0.0003,0.0046,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.0056,0.0021
todesstrafe,5,0.0003,0.0044,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
verbindung,5,0.0003,0.0044,0.0004,0.0012,0.001,0.0007,0.025,0.0002,0.0064,0.0021
verletzung,5,0.0003,0.0044,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
wirksamkeit,5,0.0039,0.0044,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.0002,0.0199
