term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
emotional,21,0.0,0.0037,0.0003,0.0003,0.0001,0.0002,0.0021,0.0096,0.0001,0.0002,0.0106,0.0116,0.0009,0.0002,0.0001,0.0001,0.0033,0.0004,0.0001,0.0277
fremd,21,0.004,0.0083,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0144,0.001,0.0125,0.0001,0.0078,0.0001,0.0003,0.0001,0.0061
individuell,21,0.0,0.0033,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0073,0.0192,0.0003,0.0001,0.0099
inhalt,21,0.0,0.0002,0.0002,0.0003,0.0323,0.0002,0.0021,0.0055,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0035,0.0076,0.0003,0.0001,0.0001
wahrnehmen,21,0.0,0.0002,0.0002,0.0003,0.0143,0.0002,0.0021,0.0003,0.0001,0.0167,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0017,0.0003,0.0112,0.0102
betrachten,20,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0351,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0002,0.0001,0.0003,0.0001,0.0001
familie,20,0.0001,0.0002,0.0002,0.0003,0.0208,0.0002,0.0021,0.0006,0.0001,0.0141,0.0003,0.0003,0.0009,0.0002,0.0001,0.0061,0.0031,0.0003,0.0001,0.0001
formulier,20,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0345,0.0002,0.0003,0.0003,0.001,0.0002,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001
insbesondere,20,0.0,0.0002,0.0002,0.0003,0.0107,0.0002,0.0022,0.0003,0.0001,0.0098,0.0281,0.0004,0.0009,0.0002,0.0001,0.0052,0.0131,0.0003,0.0002,0.0001
kognitiv,20,0.0144,0.0002,0.0003,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.0001,0.0184
