term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
individualität,11,0.0002,0.0002,0.0001,0.0002,0.0003,0.0626,0.0003,0.0003,0.0001,0.0002
interesse,11,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0003,0.0195,0.0026
konzept,11,0.0002,0.0002,0.0001,0.0022,0.0003,0.0001,0.0185,0.0003,0.0001,0.0002
kriterium,11,0.0002,0.0002,0.0001,0.0034,0.0003,0.0001,0.0165,0.0003,0.0001,0.0002
mecklenburgvorpommern,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
migrationsgebiet,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
physiologisch,11,0.0002,0.0002,0.0001,0.0046,0.0003,0.0001,0.0003,0.0195,0.0002,0.0002
tourismusland,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
typisch,11,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0243,0.0001,0.0002
vielfalt,11,0.0002,0.0002,0.0001,0.0019,0.0003,0.0343,0.0003,0.0003,0.0009,0.0002
vielzahl,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
wirtschaftsstandort,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
zielen,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
naturwissenschaftlich,10,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0191,0.0003,0.0002,0.0002
nennen,10,0.0002,0.0002,0.0001,0.0036,0.0003,0.0332,0.0003,0.0003,0.0001,0.0002
spielen,10,0.0002,0.0002,0.0001,0.0002,0.0003,0.0002,0.018,0.0003,0.0001,0.0002
wert,10,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0117,0.0003,0.0263,0.0002
faktor,9,0.0002,0.0002,0.0001,0.0002,0.0003,0.0035,0.0003,0.0003,0.0001,0.0052
vermitteln,9,0.0002,0.0002,0.0001,0.0003,0.0294,0.0001,0.0003,0.0003,0.0153,0.0002
wissenschaft,9,0.0002,0.0002,0.0001,0.0002,0.0159,0.0001,0.0003,0.0003,0.0001,0.0002
äußerer,9,0.0002,0.0002,0.0001,0.0002,0.0003,0.0071,0.0003,0.0003,0.0001,0.0002
alters,8,0.0002,0.0002,0.0001,0.0002,0.0279,0.0001,0.0003,0.0003,0.0152,0.0002
erhalten,8,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0302,0.0002
ermöglichen,8,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0191,0.0002
kritisch,8,0.0002,0.0002,0.0001,0.0067,0.0003,0.0032,0.0003,0.0003,0.0001,0.0002
lebensform,8,0.0002,0.0002,0.0001,0.0002,0.0003,0.0603,0.0003,0.0003,0.0002,0.0002
untersuchen,8,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0003,0.018,0.0002,0.0002
ziel,8,0.0002,0.0002,0.0001,0.0002,0.0348,0.0001,0.0003,0.0003,0.0001,0.0002
rahmen,7,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0042,0.0003,0.0273,0.0002
strategie,7,0.0002,0.0002,0.0001,0.0115,0.0003,0.0001,0.0003,0.0004,0.0002,0.0002
bestimmen,6,0.0002,0.0002,0.0001,0.0002,0.0003,0.0047,0.0003,0.0003,0.0001,0.0002
fachübergreifend,6,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.014,0.0002,0.0002
politisch,6,0.0002,0.0002,0.0001,0.0002,0.0003,0.0002,0.0056,0.0329,0.0001,0.0002
raum,6,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0003,0.0282,0.0002
eigenständig,5,0.0002,0.0002,0.0001,0.0002,0.0297,0.0001,0.0003,0.0003,0.0001,0.0002
kooperation,5,0.0002,0.0002,0.0001,0.0036,0.0003,0.0001,0.0006,0.0003,0.0252,0.0002
