term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
molekular,75,0.0,0.0,0.0002,0.0001,0.005,0.0002,0.032,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0082
lebend,71,0.0,0.01,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0003,0.0001,0.0001,0.0106,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
naturwissenschaftlich,71,0.0137,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0083,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.004,0.0,0.0025,0.0002,0.0
ausgewählt,70,0.0,0.0,0.0002,0.0001,0.0055,0.0002,0.0,0.0,0.0108,0.0001,0.0001,0.0,0.0045,0.0001,0.0032,0.0001,0.0,0.0,0.0002,0.0
artbegriff,69,0.0,0.0,0.0002,0.0001,0.002,0.0002,0.0,0.0,0.0011,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0085,0.0211,0.0002,0.0
energieumwandlung,69,0.0,0.0001,0.0002,0.0001,0.0,0.0002,0.0081,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0166,0.0001,0.0,0.0,0.0002,0.0239
themenfeld,69,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0063,0.0001,0.0001,0.002,0.0024,0.0001,0.0001,0.0161,0.0,0.0,0.0002,0.0123
artbildung,68,0.0,0.0,0.0002,0.0001,0.0001,0.0002,0.0,0.0075,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0075,0.0203,0.0002,0.0
erklärung,68,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0109,0.084,0.0001,0.0001,0.0,0.0094,0.0002,0.0
verbindlich,67,0.0008,0.0,0.0002,0.0001,0.0096,0.0002,0.0,0.0091,0.0001,0.0001,0.0001,0.0,0.0,0.0024,0.0001,0.0001,0.0,0.0157,0.0002,0.0
