term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
ethisch,6,0.0004,0.0189,0.0004,0.0003,0.0006,0.0002,0.003,0.0002,0.0002,0.0008,0.0005,0.0057
grenze,6,0.0004,0.0277,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0213,0.0003
kernaussag,6,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0217,0.0002,0.0002,0.0008,0.0005,0.0003
natur,6,0.0004,0.0012,0.0004,0.0002,0.0178,0.0002,0.0005,0.0002,0.0028,0.0008,0.0005,0.0003
sachbezogen,6,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0217,0.0002,0.0002,0.0008,0.0005,0.0003
sozialwissenschaftlich,6,0.0004,0.0013,0.0004,0.0004,0.0109,0.0002,0.0005,0.0002,0.0002,0.0008,0.0092,0.0162
themenfeld,6,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0153,0.0005,0.0157
vergleichend,6,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0217,0.0002,0.0002,0.0008,0.0005,0.0003
aktiv,5,0.0066,0.0189,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0005,0.0036
debatte,5,0.0004,0.0189,0.0004,0.0002,0.0006,0.0002,0.0161,0.0002,0.0002,0.0009,0.0005,0.0002
gegenwart,5,0.0004,0.0244,0.0032,0.0003,0.0006,0.0002,0.0005,0.0002,0.002,0.0008,0.0005,0.0002
grundlegend,5,0.0004,0.0012,0.0004,0.0002,0.0282,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
institution,5,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0178,0.0076
interview,5,0.0004,0.0358,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0044
kontroverse,5,0.0004,0.0012,0.0004,0.0002,0.0213,0.0002,0.0036,0.0002,0.0002,0.0153,0.0005,0.0045
kooperieren,5,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0182,0.0002,0.0002,0.0008,0.0005,0.0002
reflektiert,5,0.0004,0.0012,0.0004,0.0002,0.0281,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0003
vollziehen,5,0.0004,0.0012,0.0004,0.0002,0.0213,0.0002,0.0005,0.0002,0.0002,0.0153,0.0005,0.0083
