term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
literatur,12,0.0004,0.0001,0.0001,0.0001,0.0002,0.0228,0.0002,0.0001,0.0001,0.0004
regional,12,0.0004,0.0001,0.0001,0.0001,0.0002,0.0228,0.0002,0.0002,0.0001,0.0004
systematisch,12,0.0004,0.0001,0.0001,0.0001,0.0002,0.0101,0.0002,0.0184,0.0001,0.0004
ausgewählt,11,0.0262,0.0002,0.0001,0.0002,0.0002,0.0001,0.0019,0.0001,0.0001,0.0004
beschäftigung,11,0.0004,0.0001,0.0001,0.0001,0.0002,0.0221,0.0002,0.0001,0.0001,0.0004
bieten,11,0.0004,0.0001,0.0001,0.0017,0.0325,0.0001,0.0002,0.0031,0.0001,0.0004
eth,11,0.0005,0.0001,0.0549,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
individualität,11,0.0004,0.0001,0.0548,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
interesse,11,0.0004,0.0001,0.0001,0.0022,0.0002,0.0001,0.0002,0.0187,0.0001,0.0004
kriterium,11,0.0004,0.0002,0.0001,0.0008,0.0002,0.0001,0.0003,0.0001,0.0002,0.0263
vielfalt,11,0.0004,0.0001,0.0304,0.0001,0.0015,0.0001,0.0002,0.0001,0.0001,0.0004
vielzahl,11,0.0004,0.0001,0.0001,0.0001,0.0002,0.0221,0.0002,0.0001,0.0001,0.0004
wirtschaftsstandort,11,0.0004,0.0001,0.0001,0.0001,0.0002,0.0221,0.0002,0.0001,0.0001,0.0004
zielen,11,0.0004,0.0001,0.0001,0.0001,0.0002,0.0221,0.0002,0.0001,0.0001,0.0004
zusammenhalt,11,0.0004,0.0001,0.0001,0.0001,0.0002,0.0221,0.0002,0.0001,0.0001,0.0004
nennen,10,0.0004,0.0001,0.0289,0.0001,0.0002,0.0001,0.0002,0.0023,0.0002,0.0004
spielen,10,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0257
wert,10,0.0005,0.0002,0.0001,0.0001,0.0354,0.0001,0.0019,0.0005,0.0001,0.0004
erfahrung,9,0.0004,0.0001,0.0001,0.0022,0.0172,0.0001,0.0035,0.0003,0.0001,0.0004
lässt,9,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0193,0.0001,0.0004
vermitteln,9,0.0004,0.0001,0.0001,0.0001,0.0002,0.0101,0.0002,0.0156,0.0001,0.0004
erhalten,8,0.0004,0.0001,0.0001,0.0001,0.035,0.0001,0.0002,0.0002,0.0001,0.0004
ermöglichen,8,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0184,0.0001,0.0004
lebensform,8,0.0004,0.0001,0.0528,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
rahmen,7,0.0005,0.0001,0.0001,0.0001,0.0339,0.0001,0.0002,0.0002,0.0001,0.0004
selbstbestimmung,7,0.0004,0.0002,0.0023,0.0001,0.0032,0.0001,0.0002,0.0009,0.0001,0.0004
stressreaktion,7,0.0136,0.0002,0.0001,0.0001,0.0002,0.0001,0.0032,0.0001,0.0001,0.0004
erfahren,6,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0164,0.0001,0.0004
foto,6,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0159
herausforderung,6,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0158
informationsverarbeitung,6,0.0169,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0003,0.0002,0.0004
konkret,6,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.016
meinen,6,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0157
nervensystem,6,0.0173,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
neuronal,6,0.0173,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
philosophie,6,0.0166,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0004
politisch,6,0.0114,0.0002,0.0001,0.0001,0.0002,0.0001,0.0176,0.0001,0.0001,0.0004
raum,6,0.0004,0.0002,0.0001,0.0001,0.0326,0.0001,0.0002,0.0002,0.0001,0.0004
wirklichkeit,6,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0157
gehirn,5,0.0145,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
intellektuell,5,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0156,0.0001,0.0004
kooperation,5,0.0004,0.0002,0.0001,0.0001,0.0316,0.0001,0.0002,0.0002,0.0001,0.0004
signal,5,0.0138,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0004,0.0002,0.0004
