term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
wirtschaft,53,0.0,0.0,0.0004,0.0,0.0117,0.0078,0.0,0.0,0.0,0.0,0.0008,0.0
international,52,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0055,0.0164,0.0,0.0,0.0
darstellung,52,0.0,0.005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0
hineinversetzen,51,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0
beispielsweise,51,0.001,0.0,0.0001,0.0029,0.0,0.0115,0.005,0.0,0.0024,0.0,0.0,0.0
digital,51,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0167
verbindlich,51,0.0,0.0,0.0062,0.0025,0.0,0.0,0.0139,0.0,0.0,0.0022,0.0,0.0
dimension,50,0.0,0.0,0.0001,0.0101,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gruppe,49,0.0,0.0,0.0001,0.0,0.0012,0.0,0.0,0.0016,0.0014,0.0,0.0,0.0156
ungleichheit,49,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0108,0.0,0.0008,0.0,0.0011
europäisch,49,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fachübergreifend,49,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0132,0.0,0.0,0.0,0.0
wissen,49,0.0113,0.0,0.0001,0.0,0.0014,0.0032,0.0,0.0,0.0,0.0033,0.0,0.0
kinderrecht,48,0.0,0.0,0.0001,0.0067,0.0,0.0148,0.0,0.0,0.0,0.0,0.0,0.0
folge,48,0.0,0.0002,0.0001,0.0119,0.0,0.0,0.0,0.0,0.0001,0.0001,0.001,0.0074
rawls,46,0.0,0.0,0.0001,0.002,0.0,0.0,0.0137,0.0,0.0,0.0,0.0012,0.0
theorie,46,0.0,0.0,0.0007,0.0,0.0,0.0,0.0143,0.0022,0.0,0.0,0.0,0.0
afb,45,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0207,0.0,0.0,0.0
ausgleichend,45,0.0,0.0,0.0001,0.0,0.0,0.0,0.0191,0.0,0.0,0.0,0.0,0.0
selbstbestimmung,45,0.0025,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0162,0.0,0.0
lernbereich,45,0.0,0.0,0.0001,0.001,0.0112,0.0,0.0,0.0024,0.0,0.0,0.0,0.0
formulieren,44,0.0,0.0,0.0042,0.0005,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0127
idee,42,0.0,0.0099,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0
interessenausgleich,41,0.0,0.0045,0.0001,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0
struktur,40,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0018,0.0
wahlbereich,40,0.0,0.0,0.0001,0.0,0.014,0.0,0.0,0.0,0.0009,0.0,0.0,0.0
prozeß,39,0.0,0.0,0.0078,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108
bestimmung,39,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0
klassenstuf,39,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0036,0.0,0.01,0.0,0.0
